ncohort,utype,rtype,bd.sel,od.sel,bd.pts,od.pts,earlystop,overdose,poorall,ov.sel,V2
36,1,1,30.98,52.69,25.69125,44.33375,2.03,1.504305556,59.195,0.19,utpi
36,2,1,28.975,47.96,24.89416667,40.63666667,1.69,1.733333333,63.425,0.44,utpi
18,1,1,28.118,47.755,22.3605,38.57772222,1.112,2.166888889,56.503,0.51,utpi
18,2,1,27.109,44.391,21.89338889,35.42144444,1.088,2.266777778,60.04,1.127,utpi
36,1,1,29.19,50.585,25.26430556,43.92347222,2.31,1.838472222,63.175,0.13,boinet
36,2,1,29.44,48.355,25.15541667,41.59208333,2.205,1.976111111,62.865,0.485,boinet
18,1,1,27.545,47.383,22.40427778,38.98705556,1.325,2.332444444,60.976,0.392,boinet
18,2,1,27.013,44.562,21.89333333,35.84944444,1.31,2.529611111,60.948,1.078,boinet
36,1,1,30.035,55.91,18.68597222,37.64138889,2.24,4.487222222,66.405,0.355,tepi
36,2,1,30.07,57.3,19.66958333,46.09305556,2.225,4.673333333,64.515,0.65,tepi
18,1,1,26.571,50.234,14.62733333,32.37872222,1.461,4.200222222,58.773,0.72,tepi
18,2,1,26.009,50.925,15.5365,37.10122222,1.489,4.354111111,56.889,1.627,tepi
36,1,1,32.26,57.175,24.95666667,43.96541667,3.08,1.427222222,50.035,0.36,boin12
36,2,1,31.42,57.455,24.65333333,43.16652778,2.415,2.201388889,47.46,0.95,boin12
18,1,1,28.013,50.031,21.49955556,38.72761111,1.467,1.980166667,48.706,0.536,boin12
18,2,1,28.034,52.161,21.22472222,38.40327778,1.271,3.090611111,43.089,1.618,boin12
36,1,1,30.61,52.325,26.09777778,44.71361111,1.41,2.648472222,60.835,0.15,ji3
36,2,1,29.815,50.225,25.39027778,42.81472222,1.37,2.988472222,60.985,0.49,ji3
18,1,1,28.542,48.816,22.61988889,39.55933333,0.852,3.105333333,59.061,0.49,ji3
18,2,1,27.75,46.343,22.04688889,36.71416667,0.866,3.344055556,59.178,1.282,ji3
36,1,1,29.945,50.485,24.23430556,41.49263889,2.26,1.094027778,63.03,0.14,printe
36,2,1,29.065,47.335,23.92555556,38.94625,2.265,1.214444444,63.32,0.495,printe
18,1,1,26.408,45.446,20.78794444,35.76644444,1.475,1.088277778,61.966,0.309,printe
18,2,1,25.822,42.21,20.38694444,32.60988889,1.474,1.170611111,62.53,0.901,printe
36,1,1,28.535,48.055,23.57736111,40.08069444,4.46,0.630972222,63.07,0.125,stein
36,2,1,27.725,43.91,23.02694444,35.78625,4.655,0.611944444,63.78,0.37,stein
18,1,1,25.179,42.965,20.42005556,34.60883333,2.523,0.676833333,63.348,0.243,stein
18,2,1,24.896,39.33,19.94227778,30.60072222,2.48,0.744611111,63.984,0.656,stein
