"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","64.4699999999961","75.3000000000016","55.3924999999953","74.921249999998","2.22","9.9612500000001","36.6800000000013","1.89","ji3"
"10","1","1","64.6899999999962","75.3500000000016","54.6369999999971","73.9120000000011","2.45","9.61899999999997","34.8800000000016","1.44","ji3"
"12","1","1","64.1399999999959","75.0800000000015","52.9491666666626","72.4966666666649","2.75","9.37583333333342","41.0900000000004","1.14","ji3"
"14","1","1","64.7899999999962","75.9300000000019","52.4657142857153","71.284285714286","2.88","9.00000000000008","39.7000000000007","1.1","ji3"
"16","1","1","64.4799999999961","75.6400000000018","51.5906249999959","70.1656249999968","3.11","8.63312500000009","42.5700000000001","0.910000000000001","ji3"
"18","1","1","64.5499999999961","76.000000000002","51.4149999999988","70.0599999999982","2.74","8.22555555555575","42.1100000000002","0.77","ji3"
"20","1","1","65.6899999999967","76.6400000000023","51.4885000000012","69.5999999999996","3.46","7.68699999999998","41.1500000000004","0.69","ji3"
"22","1","1","65.8799999999968","77.0800000000025","51.5790909090872","69.5554545454513","3.35","7.45590909090899","41.9600000000002","0.47","ji3"
"24","1","1","66.0199999999969","77.5000000000027","51.691666666663","69.0112499999967","3","7.00999999999998","41.1100000000004","0.48","ji3"
"26","1","1","65.5599999999966","77.2500000000026","51.4096153846174","68.5976923076923","3.65","6.39692307692305","43.9199999999998","0.37","ji3"
"28","1","1","66.8799999999973","78.3400000000032","51.1257142857123","68.4571428571411","3.2","6.45892857142864","44.1799999999998","0.3","ji3"
"30","1","1","66.0599999999969","77.4100000000027","51.1006666666631","67.8299999999974","3.81","6.15900000000003","43.5399999999999","0.44","ji3"
"8","2","1","55.7099999999975","79.4200000000037","56.8887499999951","87.3487500000052","2.32","9.73375000000009","35.3400000000015","4.65999999999995","ji3"
"10","2","1","55.3699999999976","79.7400000000039","55.4849999999968","86.7830000000073","2.6","9.46399999999996","34.3500000000017","3.70999999999996","ji3"
"12","2","1","53.9899999999978","79.2800000000037","53.5191666666625","85.7758333333381","2.97","9.54333333333341","39.9400000000006","3.31999999999997","ji3"
"14","2","1","54.9599999999976","79.870000000004","53.6821428571438","85.5657142857208","3.23","9.15285714285724","38.170000000001","2.82999999999998","ji3"
"16","2","1","54.1599999999978","80.000000000004","52.3799999999957","84.8668750000043","3.53","8.50812500000008","42.0700000000002","2.50999999999999","ji3"
"18","2","1","53.9599999999978","80.7800000000044","51.9272222222213","84.956666666672","3.22","7.86333333333352","42.1300000000002","2.22","ji3"
"20","2","1","55.4099999999975","81.4200000000047","52.5915000000009","84.8555000000066","3.49","7.77999999999998","40.2000000000006","2.03","ji3"
"22","2","1","54.9099999999976","81.0500000000046","52.1631818181782","84.2831818181861","3.53","7.23181818181808","41.9200000000002","1.81","ji3"
"24","2","1","55.8599999999975","81.7700000000049","52.6108333333296","84.0950000000045","3.51","6.84166666666664","40.4200000000005","1.67","ji3"
"26","2","1","55.3999999999975","81.1500000000046","52.0923076923098","83.5207692307755","4.03","6.56499999999999","43.4799999999999","1.45","ji3"
"28","2","1","55.6799999999975","81.7400000000049","52.1546428571407","83.7357142857185","3.94","6.27285714285719","42.93","1.56","ji3"
"30","2","1","55.6299999999975","82.2500000000052","51.9163333333296","83.7536666666712","3.8","6.00200000000002","43.02","1.36","ji3"
