"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","65.2899999999965","75.3700000000017","57.9237499999954","76.1112499999987","2.65","8.66000000000006","30.800000000002","1.95","utpi"
"10","1","1","66.7099999999972","77.5200000000028","58.182999999997","76.007000000002","3.02","7.97399999999999","26.6800000000014","1.53","utpi"
"12","1","1","66.8899999999973","77.7000000000028","57.959999999996","75.1458333333319","3.02","6.98500000000013","30.2700000000019","1.06","utpi"
"14","1","1","67.4599999999976","78.4200000000032","58.3285714285721","75.2757142857163","3.23","6.68714285714286","26.9000000000014","1.03","utpi"
"16","1","1","68.6299999999982","79.7000000000039","59.381874999996","76.2099999999998","3.08","6.20562500000012","28.6400000000017","0.8","utpi"
"18","1","1","68.5599999999982","79.4100000000037","60.2033333333318","76.3561111111121","3.04","5.61055555555572","27.1200000000014","0.77","utpi"
"20","1","1","68.8399999999983","79.960000000004","60.9755000000001","77.009500000002","3.28","5.11149999999997","26.6200000000014","0.65","utpi"
"22","1","1","69.6699999999987","80.5300000000043","62.0904545454507","76.9818181818184","3.46","4.74045454545455","26.7000000000014","0.58","utpi"
"24","1","1","70.4999999999992","81.3500000000047","62.734999999996","77.9329166666675","3.65","4.41041666666672","25.6800000000012","0.47","utpi"
"26","1","1","70.5599999999992","81.7700000000049","63.3038461538473","78.6423076923111","3.77","4.15653846153839","26.3800000000013","0.43","utpi"
"28","1","1","70.259999999999","81.2700000000047","63.309285714283","77.9300000000007","3.94","4.10142857142858","26.0600000000013","0.4","utpi"
"30","1","1","70.2899999999991","81.3700000000047","63.430666666663","78.0506666666687","3.81","3.74866666666653","25.6100000000012","0.32","utpi"
"8","2","1","57.5199999999971","81.3100000000047","59.8637499999948","88.5987500000059","2.59","7.88750000000001","30.3700000000019","4.08999999999996","utpi"
"10","2","1","57.959999999997","81.2000000000046","58.6599999999969","87.5030000000076","2.98","7.59700000000003","28.1000000000016","3.67999999999997","utpi"
"12","2","1","58.6199999999969","82.3300000000052","58.7108333333287","87.3525000000058","3.09","6.98750000000017","32.6600000000021","2.66999999999999","utpi"
"14","2","1","59.6499999999967","82.9800000000055","58.7657142857148","86.8628571428642","3.63","6.39071428571429","30.930000000002","2.25","utpi"
"16","2","1","59.4399999999967","83.960000000006","58.6149999999955","87.3337500000058","3.37","5.87062500000009","33.120000000002","2.01","utpi"
"18","2","1","59.7699999999967","83.3200000000057","58.6727777777766","86.705555555562","3.44","5.76111111111126","32.3700000000021","2.02","utpi"
"20","2","1","59.8299999999967","83.6700000000059","58.5325000000003","86.6940000000069","3.67","5.47049999999998","31.7200000000022","1.64","utpi"
"22","2","1","60.6499999999965","85.0500000000066","59.4709090909048","87.2340909090966","3.49","4.91727272727271","32.3700000000021","1.28","utpi"
"24","2","1","60.6499999999965","84.3600000000063","59.3487499999958","86.7737500000059","4.01","4.84625000000002","31.9900000000022","1.11","utpi"
"26","2","1","60.7899999999965","84.8300000000065","59.6111538461549","86.844615384623","4.16","4.37307692307687","32.6400000000021","1.32","utpi"
"28","2","1","60.4399999999965","84.7400000000064","59.3682142857117","86.803928571434","3.74","4.29250000000002","32.850000000002","1.21","utpi"
"30","2","1","60.4699999999965","84.9800000000066","59.7299999999961","86.9703333333395","4.05","3.95866666666655","31.7200000000022","1.11","utpi"
