"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","42.6900000000001","58.369999999997","32.1425000000003","45.7987499999994","0.97","4.24875000000005","46.1899999999994","0.990000000000001","boinet"
"10","1","1","42.88","58.4699999999969","34.3930000000002","48.3240000000013","1.56","4.1239999999999","41.6500000000003","0.830000000000001","boinet"
"12","1","1","44.4799999999997","60.4999999999965","35.7683333333314","50.231666666665","2.13","3.96750000000001","46.8599999999992","0.72","boinet"
"14","1","1","46.3599999999993","62.1399999999962","37.442142857144","51.7557142857159","2.06","3.83428571428575","42.92","0.53","boinet"
"16","1","1","46.7899999999993","62.7999999999961","38.7762499999978","53.2493749999972","2.45","3.52562500000001","45.6799999999995","0.49","boinet"
"18","1","1","47.2999999999992","63.9399999999958","39.9066666666668","55.137222222224","2.25","3.56500000000004","43.9099999999998","0.4","boinet"
"20","1","1","47.6499999999991","64.349999999996","40.3735000000011","55.5760000000018","2.73","3.13599999999999","42.96","0.33","boinet"
"22","1","1","48.6299999999989","65.1399999999964","40.9672727272707","56.659999999997","3.1","3.06772727272732","44.3399999999997","0.28","boinet"
"24","1","1","47.7999999999991","64.4299999999961","42.2716666666643","57.6645833333296","2.87","3.00125000000004","42.8000000000001","0.31","boinet"
"26","1","1","48.009999999999","65.3099999999965","42.0865384615389","57.9930769230779","3.04","2.81653846153844","44.1599999999998","0.23","boinet"
"28","1","1","48.6299999999989","65.3199999999965","42.8953571428579","58.3082142857165","3.2","2.57535714285715","43.21","0.22","boinet"
"30","1","1","48.4799999999989","65.1699999999964","42.7359999999993","58.7799999999988","3.53","2.60333333333327","43.5399999999999","0.29","boinet"
"8","2","1","42.7400000000001","56.9599999999972","30.1837500000004","41.065","0.88","4.75125000000004","48.119999999999","2.64999999999999","boinet"
"10","2","1","43.9099999999998","58.6399999999969","32.3610000000003","44.0210000000009","1.47","4.57599999999992","43.3299999999999","2","boinet"
"12","2","1","44.7599999999997","59.5499999999967","33.7433333333317","46.1108333333322","1.89","4.42666666666671","48.6599999999989","1.8","boinet"
"14","2","1","45.9999999999994","61.6099999999963","35.2857142857152","48.5607142857157","2.07","4.1571428571429","45.4199999999995","1.55","boinet"
"16","2","1","46.4499999999993","62.0499999999962","36.3274999999981","50.0324999999975","2.25","3.80687500000001","48.4399999999989","1.21","boinet"
"18","2","1","48.5299999999989","63.9599999999958","38.3338888888887","51.9727777777794","2.34","3.74000000000006","44.5699999999997","1.1","boinet"
"20","2","1","46.8499999999992","62.5999999999961","37.8650000000008","51.7225000000014","2.87","3.62100000000001","45.2199999999996","1.13","boinet"
"22","2","1","49.5499999999987","64.4899999999961","39.6454545454527","53.4331818181792","2.78","3.41409090909098","44.9999999999996","1.03","boinet"
"24","2","1","47.7499999999991","63.6999999999959","39.4641666666646","53.8858333333303","3.14","3.23291666666673","44.8499999999996","1.06","boinet"
"26","2","1","48.9899999999988","64.8099999999963","40.2603846153849","54.7546153846162","2.73","3.09653846153842","45.3699999999995","0.930000000000001","boinet"
"28","2","1","48.6799999999989","64.9899999999963","40.6050000000006","55.3914285714308","3.55","2.75464285714286","45.6399999999995","0.64","boinet"
"30","2","1","48.339999999999","64.309999999996","40.734","55.5319999999991","3.54","2.69799999999993","45.3299999999996","0.69","boinet"
