"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","42.0200000000002","56.4499999999973","30.0887500000007","42.4599999999998","2.01","2.28249999999999","46.7299999999993","0.910000000000001","printe"
"10","1","1","43.24","58.189999999997","32.4610000000003","45.289000000001","2.25","2.34399999999996","41.3200000000003","0.75","printe"
"12","1","1","44.3499999999997","59.6799999999967","33.3474999999986","46.8191666666655","2.29","2.67999999999999","47.7799999999991","0.6","printe"
"14","1","1","45.8899999999994","61.4999999999963","35.1664285714295","48.8450000000016","3.21","2.78357142857142","44.2499999999998","0.63","printe"
"16","1","1","45.9699999999994","61.4199999999963","36.4293749999983","49.9006249999977","3.43","2.76625000000002","47.4799999999991","0.59","printe"
"18","1","1","46.4399999999993","62.7099999999961","36.8449999999993","50.976111111112","3.38","2.63111111111112","47.0199999999992","0.54","printe"
"20","1","1","47.3099999999992","63.4499999999959","38.045500000001","52.2550000000016","3.92","2.53049999999997","44.6599999999997","0.47","printe"
"22","1","1","48.229999999999","64.1499999999959","39.0590909090892","53.1895454545429","4.07","2.43909090909094","45.1599999999996","0.31","printe"
"24","1","1","49.0099999999988","64.4899999999961","40.1408333333313","54.2291666666635","4.04","2.35666666666668","43.6799999999999","0.39","printe"
"26","1","1","48.279999999999","64.2199999999959","40.1430769230771","54.2088461538475","4.61","2.39769230769231","45.0899999999996","0.35","printe"
"28","1","1","48.6199999999989","64.9599999999963","40.2878571428581","54.6589285714302","4.29","2.25428571428572","45.0999999999996","0.23","printe"
"30","1","1","48.5799999999989","64.0799999999959","41.252666666667","55.1933333333338","4.91","2.0943333333333","44.0499999999998","0.22","printe"
"8","2","1","42.1300000000002","55.4099999999975","28.0175000000006","37.1512500000005","2.06","2.46249999999999","49.7899999999987","2.02","printe"
"10","2","1","44.0199999999998","57.4699999999971","30.6550000000004","40.9490000000008","2.22","2.70599999999994","43.5399999999999","2.09","printe"
"12","2","1","45.1999999999996","59.5199999999967","32.3983333333319","43.1516666666658","2.45","2.72833333333332","48.6799999999989","1.5","printe"
"14","2","1","45.6799999999995","60.8099999999965","33.5507142857151","45.45142857143","3.06","2.88357142857143","46.5999999999993","1.65","printe"
"16","2","1","47.2399999999992","62.3299999999962","35.3524999999985","47.5881249999983","3.41","2.99687500000002","48.5499999999989","1.58","printe"
"18","2","1","46.9999999999992","61.9199999999963","35.5822222222217","47.899444444445","3.57","2.91388888888891","47.2399999999992","1.3","printe"
"20","2","1","48.069999999999","63.049999999996","37.0390000000009","49.6155000000013","3.24","2.75449999999997","45.7099999999995","1.41","printe"
"22","2","1","48.5099999999989","63.7899999999959","37.7927272727258","50.7513636363617","3.72","2.70954545454549","45.8599999999994","1.16","printe"
"24","2","1","47.8099999999991","63.6999999999959","37.9445833333316","51.5829166666641","3.63","2.38708333333334","45.8199999999995","0.930000000000001","printe"
"26","2","1","47.5099999999991","62.5999999999961","37.7707692307694","51.0365384615392","4.11","2.40961538461539","47.6399999999991","0.970000000000001","printe"
"28","2","1","48.6299999999989","63.8199999999959","38.9332142857153","52.2867857142875","3.73","2.27285714285715","45.5999999999995","0.71","printe"
"30","2","1","49.1399999999988","64.7799999999962","39.3273333333335","53.1876666666666","4.41","2.29433333333329","45.5699999999995","0.62","printe"
