"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","34.3600000000017","49.7899999999987","22.9162500000003","35.5825000000001","0.85","2.3675","45.9499999999994","0.75","boin12"
"10","1","1","36.1200000000014","52.0499999999982","24.7390000000007","38.0940000000008","1.25","2.25699999999991","39.4900000000007","0.63","boin12"
"12","1","1","36.9100000000012","52.909999999998","26.2991666666651","39.8999999999988","1.49","2.14916666666663","51.2099999999984","0.53","boin12"
"14","1","1","38.4600000000009","55.2199999999976","27.238571428572","41.4700000000012","2.02","2.07142857142852","46.0799999999994","0.56","boin12"
"16","1","1","38.9500000000008","56.1099999999974","27.420624999999","41.9756249999984","2.75","1.91375000000005","53.8299999999979","0.47","boin12"
"18","1","1","40.6500000000005","57.6099999999971","28.6894444444435","42.9555555555546","3.24","1.86777777777781","47.7199999999991","0.49","boin12"
"20","1","1","41.7000000000003","58.9199999999968","29.4335000000001","44.0555000000011","3.6","1.60849999999993","44.4399999999997","0.42","boin12"
"22","1","1","42.5500000000001","59.8699999999967","29.8872727272715","44.5168181818169","4.44","1.72045454545458","48.329999999999","0.41","boin12"
"24","1","1","44.2199999999998","60.4799999999965","31.163749999999","45.5695833333316","4.6","1.61750000000001","43.7699999999999","0.39","boin12"
"26","1","1","44.5799999999997","61.7799999999963","31.0953846153848","45.8642307692319","5.08","1.56115384615388","46.7999999999993","0.45","boin12"
"28","1","1","45.4699999999995","62.7099999999961","31.9292857142869","46.9103571428583","5.58","1.46607142857144","44.4599999999997","0.43","boin12"
"30","1","1","46.6699999999993","63.6099999999959","32.417333333334","47.2083333333341","5.45","1.45399999999996","41.5300000000003","0.35","boin12"
"8","2","1","42.0500000000002","52.939999999998","24.0787500000005","32.0887500000006","0.84","3.03375000000005","39.9400000000006","1.57","boin12"
"10","2","1","44.5499999999997","55.6199999999975","26.8700000000005","35.3510000000008","1.22","3.16699999999986","30.510000000002","1.6","boin12"
"12","2","1","45.5299999999995","57.7399999999971","28.2708333333318","37.4066666666653","1.29","3.08333333333333","44.2899999999998","1.54","boin12"
"14","2","1","46.0499999999994","58.119999999997","28.9914285714292","38.3014285714298","1.66","2.94928571428575","39.9800000000006","1.44","boin12"
"16","2","1","46.8499999999992","59.6999999999967","29.946249999999","39.7893749999988","2.07","2.78437500000001","47.4499999999991","1.15","boin12"
"18","2","1","48.3599999999989","61.0799999999964","30.7166666666653","40.5316666666654","2.53","2.51611111111118","42.2900000000002","1.3","boin12"
"20","2","1","49.4099999999987","62.0299999999962","31.7420000000003","41.378000000001","2.62","2.46749999999996","38.6400000000009","1.11","boin12"
"22","2","1","49.0399999999988","61.9099999999963","32.2672727272718","42.0881818181806","2.98","2.3654545454546","42.0900000000002","1.17","boin12"
"24","2","1","49.9199999999986","62.7599999999961","32.8045833333324","43.118333333332","3.67","2.20500000000003","39.2800000000008","1.03","boin12"
"26","2","1","49.6799999999987","62.2899999999962","33.2265384615388","43.168076923078","3.79","2.19076923076926","42.7100000000001","1.04","boin12"
"28","2","1","51.5199999999983","64.279999999996","34.5482142857153","44.6042857142869","3.77","2.08035714285717","38.9400000000008","0.840000000000001","boin12"
"30","2","1","51.8299999999983","64.9199999999963","34.8676666666673","45.2593333333338","4.18","1.96633333333327","37.4000000000011","0.940000000000001","boin12"
