"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","12.2","27.1999999999999","10","21.6","3.6","1.875","81.6000000000006","2.6","efftox"
"10","1","1","12.8","26.9999999999999","11.56","23.5799999999999","4.6","1.9","75.0000000000005","3","efftox"
"12","1","1","14","29.9999999999999","12.2","25.3","4.6","3.31666666666666","81.6000000000006","3.4","efftox"
"14","1","1","15","29.9999999999999","12.6","26.8714285714286","6","1.92857142857143","78.8000000000006","0.8","efftox"
"16","1","1","12.6","29.5999999999999","12.4375","27.3875","6.4","2.5875","79.6000000000006","2","efftox"
"18","1","1","12.8","30.5999999999999","11.5777777777778","26.4111111111112","7","1.21111111111111","81.8000000000006","0.2","efftox"
"20","1","1","14.8","28.9999999999999","13.01","25.31","6.8","0.980000000000001","78.6000000000006","0.6","efftox"
"22","1","1","12","26.9999999999999","10.3272727272727","23.6","11","1.38181818181818","85.0000000000007","0.2","efftox"
"24","1","1","12","31.3999999999999","11.5666666666667","29.5333333333333","7.4","2.16666666666667","82.8000000000006","1.8","efftox"
"26","1","1","11.2","26.5999999999999","11.2538461538461","25.2923076923078","8","1.28461538461538","83.8000000000007","1.8","efftox"
"28","1","1","16.6","34.8","13.2","29.8571428571429","7.2","1.76428571428571","80.2000000000006","1.2","efftox"
"30","1","1","14.4","29.3999999999999","11.82","24.58","9.4","1.84","83.8000000000007","0.8","efftox"
"8","2","1","21","42.6000000000001","18.625","31","3.2","7.225","66.8000000000004","11.6","efftox"
"10","2","1","25.7999999999999","48.6000000000002","19.5199999999999","34.2399999999999","5.2","9.03999999999998","57.0000000000003","8.2","efftox"
"12","2","1","27.7999999999999","50.8000000000002","21.1500000000001","37.9666666666666","5.4","9.55","65.8000000000004","8.2","efftox"
"14","2","1","27.9999999999999","50.2000000000002","22.1000000000001","38.7857142857145","4.8","7.58571428571427","59.6000000000003","5.6","efftox"
"16","2","1","29.7999999999999","56.0000000000003","22.1124999999999","42.9375000000001","6.4","9.2125","64.6000000000004","7.8","efftox"
"18","2","1","29.1999999999999","52.6000000000002","22.8777777777779","41.088888888889","6.6","7.39999999999999","62.0000000000003","4.8","efftox"
"20","2","1","30.7999999999999","51.0000000000002","24.2700000000001","41.1100000000001","10","5.98999999999999","58.0000000000003","3","efftox"
"22","2","1","33.5999999999999","51.8000000000002","26.9727272727273","42.0272727272726","8.8","7.01818181818182","56.0000000000003","4.4","efftox"
"24","2","1","31.3999999999999","54.2000000000002","24.2583333333333","43.3749999999999","9.2","6.7","60.4000000000003","3","efftox"
"26","2","1","33.9999999999999","60.0000000000003","26.2384615384617","49.1615384615386","8.2","6.09999999999999","59.2000000000003","3.2","efftox"
"28","2","1","36.2","56.2000000000003","26.8","44.9","8.6","6.43571428571428","58.0000000000003","3","efftox"
"30","2","1","39.8","63.4000000000004","29.8266666666667","51.1200000000001","6","6.47333333333333","51.0000000000002","2.2","efftox"
