"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","11.1199999999998","25.3000000000012","7.22125000000006","17.2075000000003","1.76","0","82.4800000000053","0","stein"
"10","1","1","13.3499999999998","28.2600000000016","9.43099999999999","20.3510000000003","2.35","0","77.0400000000025","0","stein"
"12","1","1","15.0799999999997","30.500000000002","11.575","23.2224999999994","3.09","0","77.8000000000029","0","stein"
"14","1","1","16.6499999999998","32.3200000000021","13.154285714286","25.1514285714291","3.73","0","74.7500000000013","0","stein"
"16","1","1","17.92","33.8800000000018","14.7087500000003","27.3474999999997","4.71","0","74.7400000000013","0","stein"
"18","1","1","18.2","34.8400000000016","15.3244444444448","28.6077777777774","5.09","0","73.1800000000005","0","stein"
"20","1","1","19.7000000000003","36.6100000000013","16.4610000000001","29.8730000000003","5.38","0","70.7799999999993","0","stein"
"22","1","1","19.8700000000003","36.5400000000013","17.2372727272724","30.6495454545448","6.67","0","71.1499999999995","0","stein"
"24","1","1","21.3600000000005","37.960000000001","17.7716666666663","31.0291666666658","7.21","0","70.0299999999989","0","stein"
"26","1","1","21.6300000000006","37.7200000000011","18.6023076923078","32.0246153846156","7.66","0","70.3299999999991","0","stein"
"28","1","1","21.9100000000006","39.3900000000007","19.0289285714288","33.307857142858","7.88","0","69.2999999999985","0","stein"
"30","1","1","22.1600000000007","39.0600000000008","19.5810000000002","33.6870000000003","8.65","0","67.6199999999977","0","stein"
"8","2","1","14.9999999999997","20.3100000000004","6.91500000000007","10.0112500000001","1.42","0","82.8200000000055","0","stein"
"10","2","1","18.8800000000002","25.0200000000011","9.76999999999997","13.492","1.72","0","76.020000000002","0","stein"
"12","2","1","20.1100000000003","26.7700000000014","11.2275","15.5841666666665","2.71","0","78.6500000000033","0","stein"
"14","2","1","21.6800000000006","28.1600000000016","12.7457142857146","17.0985714285718","3.24","0","75.0500000000015","0","stein"
"16","2","1","22.1900000000007","29.1900000000018","13.3843750000003","18.2618750000001","3.38","0","77.1000000000025","0","stein"
"18","2","1","23.4500000000009","30.490000000002","14.486666666667","19.5077777777778","4.41","0","74.7100000000013","0","stein"
"20","2","1","23.9100000000009","31.3900000000021","15.0340000000001","20.4245000000001","4.86","0","73.3500000000006","0","stein"
"22","2","1","24.590000000001","31.6200000000021","15.7513636363632","20.9831818181813","5.39","0","73.6900000000008","0","stein"
"24","2","1","24.8900000000011","32.1000000000022","16.199583333333","21.5454166666662","6.02","0","72.3000000000001","0","stein"
"26","2","1","26.0000000000013","33.4600000000019","17.2338461538461","22.8469230769231","6.36","0","72.12","0","stein"
"28","2","1","25.9700000000013","33.200000000002","17.5378571428574","23.011428571429","6.55","0","71.2699999999996","0","stein"
"30","2","1","26.2000000000013","33.9700000000018","17.7950000000002","23.8086666666669","6.75","0","70.3399999999991","0","stein"
