"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","15.7599999999997","31.4200000000021","16.6075000000007","26.3662500000006","1.66","0","60.2899999999966","0","tepi"
"10","1","1","19.9300000000003","36.3700000000013","23.7510000000005","33.5770000000008","1.79","0","45.8899999999994","0","tepi"
"12","1","1","22.9700000000008","40.5000000000005","30.3099999999989","40.0016666666667","2.05","0","42.7900000000001","0","tepi"
"14","1","1","24.8600000000011","42.0600000000002","34.7257142857151","44.2221428571443","2.47","0","36.9700000000012","0","tepi"
"16","1","1","25.9700000000013","43.6599999999999","38.5300000000008","47.7487500000007","3.02","0","36.6000000000013","0","tepi"
"18","1","1","26.9800000000014","44.6999999999997","41.8033333333327","50.7827777777771","3.12","0","33.100000000002","0","tepi"
"20","1","1","28.3800000000016","46.0999999999994","44.2435000000014","53.0455000000016","2.87","0","30.660000000002","0","tepi"
"22","1","1","28.8700000000017","46.7599999999993","46.1554545454552","54.9213636363634","3.71","0","30.730000000002","0","tepi"
"24","1","1","29.8700000000019","47.5999999999991","47.5666666666668","56.2587499999991","3.48","0","29.4200000000018","0","tepi"
"26","1","1","29.7500000000019","47.4799999999991","49.5707692307702","58.1615384615402","4.07","0","29.0200000000017","0","tepi"
"28","1","1","29.9300000000019","47.859999999999","51.0689285714301","59.6189285714302","3.89","0","28.1600000000016","0","tepi"
"30","1","1","29.9400000000019","48.9799999999988","52.9986666666683","61.5546666666688","4","0","26.4600000000013","0","tepi"
"8","2","1","24.6700000000011","31.7900000000022","17.2575000000006","21.3287500000004","1.28","0","58.159999999997","0","tepi"
"10","2","1","31.4600000000021","38.8100000000008","25.1460000000005","29.4890000000008","1.4","0","43.11","0","tepi"
"12","2","1","34.1500000000018","41.7800000000003","30.9899999999989","35.2524999999995","1.7","0","41.3500000000003","0","tepi"
"14","2","1","36.5400000000013","44.2699999999998","35.5714285714295","39.8957142857156","2.26","0","35.2000000000016","0","tepi"
"16","2","1","38.4900000000009","46.2299999999994","38.7037500000008","43.0856250000008","2.02","0","36.3100000000013","0","tepi"
"18","2","1","38.9800000000008","46.9099999999992","42.6149999999995","47.2205555555549","2.35","0","31.9200000000022","0","tepi"
"20","2","1","40.2900000000006","48.4499999999989","44.6200000000013","49.0355000000012","2.74","0","30.470000000002","0","tepi"
"22","2","1","41.0200000000004","49.0799999999988","46.8863636363643","51.3427272727276","3.06","0","29.6600000000018","0","tepi"
"24","2","1","41.4900000000003","49.1399999999988","48.7966666666667","52.8991666666663","2.95","0","27.9600000000016","0","tepi"
"26","2","1","42.4800000000001","50.4299999999985","50.2669230769244","54.6538461538481","3.16","0","28.6700000000017","0","tepi"
"28","2","1","41.8100000000003","49.8599999999986","51.5678571428589","56.1207142857159","3.3","0","27.1600000000014","0","tepi"
"30","2","1","42.0700000000002","50.3599999999985","53.2930000000018","57.6386666666689","3.31","0","25.7700000000012","0","tepi"
