"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","67.9299999999978","78.3600000000032","56.9249999999954","69.7449999999964","0.73","8.8500000000001","31.2500000000021","1.4","ji3"
"10","1","1","67.6799999999977","77.8500000000029","56.5759999999977","69.4599999999996","1.05","8.54499999999994","28.6400000000017","1.01","ji3"
"12","1","1","69.1399999999985","79.0000000000035","55.9241666666627","68.3041666666635","1.27","7.95166666666681","35.0100000000016","0.65","ji3"
"14","1","1","69.5699999999987","79.6700000000039","54.8578571428583","67.8085714285718","1.65","7.75071428571433","34.1300000000018","0.73","ji3"
"16","1","1","69.8299999999988","79.900000000004","54.5774999999957","67.4187499999961","1.46","7.59625000000008","36.9800000000012","0.67","ji3"
"18","1","1","69.4099999999986","79.7500000000039","54.0916666666659","67.0338888888872","2.05","6.98777777777793","36.7200000000013","0.57","ji3"
"20","1","1","70.179999999999","80.3700000000042","54.411500000001","67.097","2.2","6.61699999999996","35.8400000000014","0.5","ji3"
"22","1","1","69.2599999999985","80.2400000000041","54.2122727272688","67.1686363636327","2.5","6.11045454545449","36.7600000000013","0.41","ji3"
"24","1","1","69.9699999999989","80.1400000000041","53.3329166666629","65.8841666666624","2.45","5.99124999999999","37.1600000000012","0.38","ji3"
"26","1","1","71.0399999999994","81.0100000000045","55.1726923076939","67.3738461538469","2.62","5.31615384615383","37.990000000001","0.2","ji3"
"28","1","1","70.5799999999992","81.7000000000049","53.9435714285696","66.9978571428555","2.63","5.28535714285719","38.7200000000009","0.31","ji3"
"30","1","1","69.9599999999989","80.9700000000045","53.4266666666633","66.4199999999971","2.82","5.05199999999997","39.2600000000008","0.25","ji3"
"8","2","1","61.6599999999963","78.7400000000034","56.7374999999955","75.9587499999987","0.84","9.36875000000007","30.3100000000019","2.98999999999998","ji3"
"10","2","1","61.5099999999963","78.4100000000032","55.4609999999977","74.5600000000016","1.35","9.20499999999997","28.5500000000017","2.63999999999999","ji3"
"12","2","1","61.4899999999963","79.5300000000038","54.7733333333298","74.8991666666661","1.3","8.8075000000001","34.9200000000016","2.39999999999999","ji3"
"14","2","1","62.8299999999961","80.6500000000044","54.8507142857151","75.0507142857161","1.64","8.03428571428575","33.8900000000018","1.85","ji3"
"16","2","1","62.6999999999961","80.5400000000043","54.199999999996","74.7362499999992","1.88","7.89500000000008","37.0800000000012","1.89","ji3"
"18","2","1","64.5799999999961","81.990000000005","54.5422222222213","74.8777777777787","1.83","7.44500000000017","35.1500000000016","1.46","ji3"
"20","2","1","64.309999999996","81.910000000005","54.648500000001","74.9220000000024","2","6.88999999999999","34.4400000000017","1.48","ji3"
"22","2","1","64.249999999996","82.1300000000051","54.7877272727234","75.0954545454539","2.39","6.32909090909086","35.9100000000014","1.14","ji3"
"24","2","1","63.7899999999959","82.0200000000051","53.7162499999963","74.387916666666","2.49","6.23958333333334","36.4700000000013","1.13","ji3"
"26","2","1","63.6899999999959","82.0500000000051","53.7373076923093","74.8934615384639","2.6","5.77961538461539","38.7300000000009","1.07","ji3"
"28","2","1","63.9899999999958","82.2800000000052","53.7774999999985","74.5832142857137","2.98","5.5960714285715","38.070000000001","1.02","ji3"
"30","2","1","64.7099999999962","82.8100000000055","54.180999999997","75.218666666666","3","5.35566666666668","37.4800000000011","0.860000000000001","ji3"
