"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","43.28","59.5899999999967","38.4437499999987","53.6287499999977","0.77","2.95375","40.3900000000005","0.860000000000001","printe"
"10","1","1","43.3499999999999","60.1399999999966","39.5990000000008","54.7220000000006","1.14","3.01599999999993","37.1900000000012","0.66","printe"
"12","1","1","44.8199999999997","61.8199999999963","40.3366666666645","55.758333333331","1.28","3.06999999999999","43","0.56","printe"
"14","1","1","45.5099999999995","62.5999999999961","41.377142857144","56.4450000000016","1.77","3.13214285714286","40.5300000000005","0.63","printe"
"16","1","1","45.5499999999995","63.199999999996","41.6912499999974","57.1231249999965","2.05","2.94562500000001","44.9099999999996","0.53","printe"
"18","1","1","46.8899999999992","64.259999999996","42.5177777777778","58.247777777779","2.27","2.72222222222223","43.11","0.38","printe"
"20","1","1","47.6999999999991","64.7099999999962","43.2165000000013","58.4935000000015","2.46","2.69799999999997","41.7500000000003","0.39","printe"
"22","1","1","47.4299999999991","64.5699999999961","43.5818181818154","58.7699999999962","2.83","2.67772727272731","42.5600000000001","0.4","printe"
"24","1","1","47.7899999999991","65.2899999999965","44.0283333333301","59.4504166666624","2.41","2.54208333333335","42.0400000000002","0.29","printe"
"26","1","1","47.879999999999","65.7999999999968","44.2938461538473","60.2942307692324","2.84","2.35615384615385","42.9","0.3","printe"
"28","1","1","48.5099999999989","65.0999999999964","44.6778571428582","59.8900000000008","3.08","2.175","42.3700000000001","0.2","printe"
"30","1","1","47.969999999999","65.7299999999967","44.6436666666674","60.2373333333335","3.43","2.25233333333329","41.8500000000002","0.23","printe"
"8","2","1","42.6500000000001","56.7399999999973","36.713749999999","49.5024999999981","0.82","3.01750000000001","42.2100000000002","1.63","printe"
"10","2","1","42.6400000000001","57.5499999999971","37.8530000000008","51.0200000000009","1.09","3.32499999999993","38.9100000000008","1.81","printe"
"12","2","1","44.3499999999997","59.5599999999967","38.7091666666647","52.3233333333311","1.37","3.27499999999999","44.7099999999997","1.47","printe"
"14","2","1","44.7399999999997","60.3299999999966","39.6021428571436","53.6564285714305","1.62","3.37071428571429","41.8800000000002","1.55","printe"
"16","2","1","44.4999999999997","60.6799999999965","39.3368749999976","53.9687499999968","1.91","3.21562500000002","46.6799999999993","1.22","printe"
"18","2","1","44.8499999999996","61.1099999999964","39.9677777777776","54.6155555555575","2.23","3.00166666666669","45.0999999999996","1.04","printe"
"20","2","1","46.0799999999994","61.9199999999963","41.3145000000011","55.9655000000023","2.26","3.07999999999997","43.3999999999999","1.3","printe"
"22","2","1","46.8099999999993","63.169999999996","41.7849999999976","56.885454545451","2.66","2.95590909090914","43.9299999999998","1.03","printe"
"24","2","1","46.4299999999993","63.5599999999959","41.8599999999973","57.7516666666628","2.68","2.50458333333334","43.6399999999999","0.850000000000001","printe"
"26","2","1","47.0499999999992","62.7599999999961","42.4676923076931","57.4123076923099","2.74","2.60846153846154","44.4399999999997","0.8","printe"
"28","2","1","46.3799999999993","62.2999999999962","41.9660714285725","57.0621428571441","3.19","2.47714285714287","44.5699999999997","0.74","printe"
"30","2","1","47.6799999999991","64.6599999999962","43.5190000000007","59.2826666666674","2.92","2.41799999999995","42.6800000000001","0.66","printe"
