"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","21.1400000000005","36.1800000000014","21.4362500000005","34.6400000000007","0.82","0","58.6399999999969","0","boinet"
"10","1","1","21.1400000000005","37.2400000000012","23.3940000000008","37.5620000000007","0.97","0","56.5599999999973","0","boinet"
"12","1","1","21.6900000000006","37.7500000000011","25.7124999999996","40.1441666666659","1.13","0","58.8099999999969","0","boinet"
"14","1","1","23.5200000000009","39.9800000000006","27.4914285714295","41.802142857144","1.5","0","56.3299999999974","0","boinet"
"16","1","1","23.9600000000009","40.5700000000005","28.3249999999995","42.9674999999983","1.72","0","58.289999999997","0","boinet"
"18","1","1","24.540000000001","40.6900000000005","29.1461111111103","43.6344444444446","1.98","0","57.3099999999972","0","boinet"
"20","1","1","24.8400000000011","41.2700000000004","30.3280000000009","45.0320000000011","2.26","0","55.5299999999975","0","boinet"
"22","1","1","25.6400000000012","41.9200000000002","31.281818181817","46.2131818181798","2.12","0","56.1799999999974","0","boinet"
"24","1","1","25.6700000000012","42.7600000000001","31.5024999999986","46.5333333333307","2.46","0","55.7799999999975","0","boinet"
"26","1","1","25.8300000000012","42.1900000000002","31.8153846153846","46.7326923076935","2.77","0","56.7899999999973","0","boinet"
"28","1","1","27.3800000000015","44.9299999999996","33.3200000000012","48.6485714285723","2.45","0","54.7899999999977","0","boinet"
"30","1","1","26.2400000000013","42.7000000000001","32.6740000000006","47.2810000000005","2.95","0","55.6999999999975","0","boinet"
"8","2","1","25.6500000000012","32.2700000000021","20.3625000000004","25.5650000000008","0.54","0","60.1599999999966","0","boinet"
"10","2","1","26.0400000000013","33.060000000002","22.0400000000006","27.7920000000006","0.81","0","58.5199999999969","0","boinet"
"12","2","1","27.0200000000014","34.1900000000018","23.8233333333329","29.9833333333326","0.94","0","61.3199999999964","0","boinet"
"14","2","1","28.5400000000017","35.6500000000015","25.6107142857151","31.6578571428583","1.32","0","58.4399999999969","0","boinet"
"16","2","1","29.4000000000018","37.2900000000012","26.6224999999995","33.2137499999989","1.57","0","60.3099999999966","0","boinet"
"18","2","1","31.020000000002","38.250000000001","27.8355555555547","34.2188888888884","1.67","0","58.209999999997","0","boinet"
"20","2","1","31.3300000000021","38.8200000000008","28.4855000000007","35.0875000000008","2.19","0","57.6299999999971","0","boinet"
"22","2","1","31.4100000000021","39.4100000000007","28.9840909090898","35.9127272727258","1.71","0","58.6099999999969","0","boinet"
"24","2","1","32.2200000000022","40.1400000000006","29.7854166666652","36.7570833333315","2.01","0","57.4699999999971","0","boinet"
"26","2","1","32.960000000002","40.3700000000005","30.5038461538463","37.2053846153851","2.07","0","57.7499999999971","0","boinet"
"28","2","1","33.6000000000019","41.0000000000004","30.846785714287","37.6732142857151","2.6","0","57.6499999999971","0","boinet"
"30","2","1","32.7100000000021","40.0000000000006","31.0223333333341","37.4906666666673","2.26","0","57.5699999999971","0","boinet"
