"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","18.2800000000001","32.850000000002","13.8825000000005","24.5650000000003","1.02","0","71.1199999999995","0","boin12"
"10","1","1","21.5600000000006","37.4800000000011","16.4599999999998","28.3170000000009","1.27","0","63.4699999999959","0","boin12"
"12","1","1","23.7700000000009","39.3600000000007","18.2783333333325","30.1399999999983","1.72","0","67.3599999999976","0","boin12"
"14","1","1","24.460000000001","40.9000000000004","19.0178571428576","31.4000000000004","2.49","0","64.6999999999962","0","boin12"
"16","1","1","25.9100000000013","42.4800000000001","20.0112499999995","32.5818749999989","2.62","0","67.1299999999974","0","boin12"
"18","1","1","27.9300000000016","44.1799999999998","20.7611111111106","33.3466666666654","3.36","0","63.7599999999959","0","boin12"
"20","1","1","27.7800000000015","45.3199999999996","20.9110000000003","34.0255000000004","4.03","0","61.5499999999963","0","boin12"
"22","1","1","30.0800000000019","47.3399999999992","21.8913636363624","35.2604545454533","4.13","0","63.219999999996","0","boin12"
"24","1","1","30.0700000000019","47.6199999999991","22.2658333333322","35.8087499999987","4.75","0","60.4399999999965","0","boin12"
"26","1","1","30.560000000002","48.169999999999","22.574615384615","36.1315384615388","5.24","0","62.979999999996","0","boin12"
"28","1","1","31.3800000000021","48.8399999999989","23.2192857142864","36.694642857144","5.88","0","60.1299999999966","0","boin12"
"30","1","1","31.1700000000021","49.1999999999988","22.9373333333343","36.7790000000006","6.14","0","59.5799999999967","0","boin12"
"8","2","1","27.1900000000015","34.9000000000016","15.6875000000006","20.3362500000004","0.78","0","66.3899999999971","0","boin12"
"10","2","1","31.7600000000022","39.3300000000007","18.7080000000003","23.8690000000007","1.33","0","55.4899999999975","0","boin12"
"12","2","1","34.0900000000018","42.0400000000002","21.1308333333321","26.4541666666651","1.39","0","61.4299999999963","0","boin12"
"14","2","1","35.9100000000014","44.0099999999998","22.8692857142862","28.6657142857148","1.62","0","55.9999999999974","0","boin12"
"16","2","1","36.4400000000013","45.0099999999996","23.152499999999","29.2043749999987","2.04","0","61.8999999999963","0","boin12"
"18","2","1","37.7900000000011","46.0999999999994","24.0811111111101","30.1349999999985","2.22","0","57.8099999999971","0","boin12"
"20","2","1","39.3400000000007","47.5899999999991","25.1275000000003","31.1805000000003","2.48","0","53.359999999998","0","boin12"
"22","2","1","38.8400000000008","47.849999999999","25.0599999999987","31.7563636363624","2.98","0","57.1399999999972","0","boin12"
"24","2","1","40.5600000000005","49.2399999999988","26.0849999999989","32.6012499999988","3.35","0","53.119999999998","0","boin12"
"26","2","1","42.1100000000002","50.4599999999985","26.7969230769226","33.3126923076923","3.68","0","54.6499999999977","0","boin12"
"28","2","1","42.2000000000002","50.9899999999984","27.4407142857152","33.947500000001","3.61","0","52.3099999999982","0","boin12"
"30","2","1","43.12","51.2599999999984","27.6413333333342","34.2120000000005","4.06","0","50.5899999999985","0","boin12"
