"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","18.4","29.1999999999999","9.725","19.525","3.2","0","78.4000000000006","0","efftox"
"10","1","1","20","28.5999999999999","11.88","20.68","5.8","0","75.4000000000005","0","efftox"
"12","1","1","20.8","30.9999999999999","12.6333333333333","21.9333333333333","5.4","0","77.6000000000006","0","efftox"
"14","1","1","22.4","32.9999999999999","15.5","26.1285714285715","5.2","0","74.0000000000005","0","efftox"
"16","1","1","22.4","31.5999999999999","14.95","24.425","7.6","0","76.0000000000005","0","efftox"
"18","1","1","24.9999999999999","33.7999999999999","17.4","26.6777777777778","6.4","0","72.6000000000005","0","efftox"
"20","1","1","25.9999999999999","34.1999999999999","18.08","27.43","7.6","0","71.2000000000005","0","efftox"
"22","1","1","23.9999999999999","31.7999999999999","16.5","24.3454545454545","7.2","0","76.4000000000005","0","efftox"
"24","1","1","23.7999999999999","33.3999999999999","18.25","27.0833333333333","8.2","0","71.8000000000005","0","efftox"
"26","1","1","22.4","31.7999999999999","17.2692307692307","25.7615384615385","7","0","74.8000000000005","0","efftox"
"28","1","1","22.6","31.5999999999999","17.0642857142857","26.3428571428571","7.2","0","75.4000000000005","0","efftox"
"30","1","1","25.1999999999999","35.4","19.4133333333333","28.78","6.6","0","72.2000000000005","0","efftox"
"8","2","1","74.8000000000005","76.8000000000006","47.025","50.5","3.6","0","17","0","efftox"
"10","2","1","78.8000000000006","81.4000000000006","52.9600000000001","56.76","4.4","0","15.2","0","efftox"
"12","2","1","78.2000000000006","79.6000000000006","57.2833333333331","60.1499999999997","5.6","0","17.6","0","efftox"
"14","2","1","75.2000000000005","78.8000000000006","59.8428571428575","63.2285714285717","5.8","0","16.8","0","efftox"
"16","2","1","77.4000000000006","80.6000000000006","62.4500000000002","65.7125000000001","3.4","0","16.2","0","efftox"
"18","2","1","77.4000000000006","80.6000000000006","64.5","67.6555555555555","4","0","14.4","0","efftox"
"20","2","1","79.0000000000006","80.8000000000006","66.8100000000002","69.5000000000002","5","0","13.4","0","efftox"
"22","2","1","77.0000000000006","80.0000000000006","67.4272727272726","70.1909090909089","4.6","0","13.8","0","efftox"
"24","2","1","75.8000000000005","78.8000000000006","66.4416666666663","69.4666666666663","4.2","0","15.4","0","efftox"
"26","2","1","75.4000000000005","78.4000000000006","68.2076923076922","71.7307692307691","5.4","0","16.6","0","efftox"
"28","2","1","78.0000000000006","81.2000000000006","71.1714285714287","74.1285714285716","4.2","0","13","0","efftox"
"30","2","1","77.0000000000006","78.8000000000006","69.9466666666667","72.0533333333334","4.4","0","14.8","0","efftox"
