"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","15.4099999999997","29.5800000000018","10.7325000000001","20.6287500000005","0.9","0","74.6400000000013","0","utpi"
"10","1","1","18.22","32.3700000000021","13.6789999999999","24.1560000000005","1.16","0","66.5999999999972","0","utpi"
"12","1","1","20.5800000000004","36.1300000000014","16.2324999999998","27.7808333333324","1.21","0","66.5999999999972","0","utpi"
"14","1","1","21.6900000000006","36.7700000000013","17.5428571428576","29.0442857142863","1.73","0","63.049999999996","0","utpi"
"16","1","1","22.5700000000007","38.3500000000009","18.9937499999999","30.9824999999994","1.85","0","69.2799999999985","0","utpi"
"18","1","1","23.7900000000009","40.5400000000005","20.0438888888886","32.9466666666659","2.13","0","66.6699999999972","0","utpi"
"20","1","1","23.8900000000009","40.3300000000005","20.8625000000004","33.7840000000006","2.65","0","64.9299999999963","0","utpi"
"22","1","1","25.3600000000012","41.8700000000002","21.5299999999994","34.6790909090902","2.84","0","66.6199999999972","0","utpi"
"24","1","1","25.7300000000012","42.2100000000002","22.0037499999994","35.2187499999991","3.23","0","65.6099999999967","0","utpi"
"26","1","1","26.0300000000013","43.4899999999999","22.846153846154","36.5815384615395","2.89","0","66.7899999999973","0","utpi"
"28","1","1","26.8600000000014","44.0399999999998","23.1400000000006","36.827857142858","3.46","0","65.2099999999965","0","utpi"
"30","1","1","28.4900000000017","45.9899999999994","24.7580000000003","38.643666666667","3.57","0","62.7599999999961","0","utpi"
"8","2","1","18.6300000000001","24.320000000001","10.3225000000001","13.7612500000003","0.67","0","75.1000000000015","0","utpi"
"10","2","1","21.7300000000006","27.2800000000015","13.1649999999999","16.702","0.76","0","69.4899999999986","0","utpi"
"12","2","1","23.1700000000008","29.6400000000018","15.1741666666666","19.4358333333329","1.02","0","72.4200000000001","0","utpi"
"14","2","1","23.5200000000009","30.2100000000019","17.0550000000003","21.5350000000005","1.33","0","69.3599999999986","0","utpi"
"16","2","1","24.7600000000011","32.0700000000022","18.100625","23.1449999999998","1.41","0","70.9999999999994","0","utpi"
"18","2","1","25.5000000000012","32.5900000000021","18.9216666666665","24.1099999999995","1.7","0","69.8899999999988","0","utpi"
"20","2","1","26.1400000000013","33.5100000000019","20.0155000000003","25.3790000000004","1.82","0","68.199999999998","0","utpi"
"22","2","1","27.5900000000015","34.3300000000017","21.5849999999993","26.4754545454539","2.12","0","67.8399999999978","0","utpi"
"24","2","1","27.8000000000015","35.1200000000016","22.2524999999993","27.7920833333325","2.26","0","66.6599999999972","0","utpi"
"26","2","1","27.8700000000016","35.3700000000015","22.2196153846152","27.8238461538462","2.07","0","67.9099999999978","0","utpi"
"28","2","1","28.0000000000016","35.2300000000016","23.2021428571433","28.8721428571435","2.25","0","66.8999999999973","0","utpi"
"30","2","1","26.9900000000014","34.8800000000016","22.7390000000003","28.8930000000003","2.54","0","67.3499999999976","0","utpi"
