"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","66.219999999997","76.1900000000021","57.9462499999947","75.9362499999984","2.71","8.22500000000002","34.0900000000018","1.47","boinet"
"10","1","1","65.4299999999966","76.030000000002","56.2459999999967","73.9690000000012","3.01","8.07900000000001","33.260000000002","1.22","boinet"
"12","1","1","65.6499999999967","75.9000000000019","55.9908333333287","73.3341666666646","3.44","7.81250000000018","37.7900000000011","1.22","boinet"
"14","1","1","66.1199999999969","77.5100000000027","55.3792857142866","72.9014285714294","3.93","7.22214285714286","37.0900000000012","0.8","boinet"
"16","1","1","67.0599999999974","77.5400000000028","55.7556249999959","72.7856249999978","3.85","6.69187500000009","38.7300000000009","0.81","boinet"
"18","1","1","66.6499999999972","77.4700000000027","55.2044444444433","71.7261111111099","4.02","6.5005555555557","38.3700000000009","0.67","boinet"
"20","1","1","66.5599999999971","77.4500000000027","54.7425000000008","71.0565000000002","4.53","6.00149999999994","37.980000000001","0.53","boinet"
"22","1","1","66.8699999999973","77.7800000000029","55.6518181818141","71.3913636363615","4.67","5.45045454545449","38.4300000000009","0.45","boinet"
"24","1","1","66.7899999999973","78.4100000000032","55.4374999999959","71.3470833333309","4.71","5.14541666666666","37.7500000000011","0.46","boinet"
"26","1","1","66.8299999999973","77.7300000000029","54.7300000000016","70.4034615384621","4.93","5.23115384615382","39.3900000000007","0.47","boinet"
"28","1","1","66.6099999999972","77.0400000000025","54.5399999999975","69.3374999999983","5.38","4.89392857142862","39.0000000000008","0.45","boinet"
"30","1","1","67.0899999999974","78.7700000000034","55.1003333333292","70.3383333333316","4.76","4.43799999999995","38.260000000001","0.25","boinet"
"8","2","1","57.4699999999971","80.7400000000044","59.0124999999945","87.7250000000054","2.76","8.02500000000001","33.4300000000019","3.82999999999996","boinet"
"10","2","1","56.8999999999972","81.2800000000047","57.5209999999964","87.1590000000074","2.85","7.85200000000001","32.2600000000022","3.25999999999997","boinet"
"12","2","1","57.5199999999971","81.1500000000046","57.7783333333285","86.5866666666719","3.58","7.37666666666682","35.9600000000014","3.20999999999998","boinet"
"14","2","1","57.4399999999971","82.1900000000051","56.6985714285721","86.8214285714354","3.61","7.22500000000001","35.9100000000014","2.48999999999999","boinet"
"16","2","1","57.3299999999972","81.850000000005","56.8049999999957","86.028750000005","4.02","6.54687500000009","37.980000000001","2.29999999999999","boinet"
"18","2","1","57.1799999999972","82.4700000000053","56.3733333333324","85.9366666666723","4.39","6.08777777777792","37.5000000000011","2.09","boinet"
"20","2","1","57.5499999999971","82.8700000000055","56.7370000000007","85.7710000000069","4.37","5.54299999999995","36.6300000000013","1.71","boinet"
"22","2","1","57.3999999999971","82.3100000000052","56.0399999999958","85.1495454545504","4.79","5.38590909090904","38.280000000001","1.57","boinet"
"24","2","1","56.3899999999974","81.6800000000049","55.6724999999958","84.7562500000048","5.45","5.17125","37.5900000000011","1.68","boinet"
"26","2","1","56.6699999999973","82.0200000000051","55.8165384615398","84.5792307692378","5.32","4.85538461538458","38.6900000000009","1.54","boinet"
"28","2","1","56.6999999999973","81.900000000005","55.9328571428542","84.7185714285761","5.36","4.64821428571433","38.130000000001","1.4","boinet"
"30","2","1","57.7899999999971","82.7300000000054","56.2393333333293","84.6313333333383","5.48","4.4476666666666","37.2400000000012","1.31","boinet"
