"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","60.0699999999966","72.9300000000004","52.5749999999949","73.146249999998","2.46","8.99250000000009","25.9600000000013","2.22","boin12"
"10","1","1","61.1299999999964","74.4100000000012","53.3170000000007","73.2570000000012","2.83","7.93900000000016","19.9900000000003","1.69","boin12"
"12","1","1","62.959999999996","76.6300000000023","54.6383333333292","74.116666666666","2.69","7.03916666666689","22.8800000000008","1.3","boin12"
"14","1","1","63.5999999999959","77.4000000000027","56.0178571428611","74.9021428571451","2.97","6.46428571428568","18.8500000000001","1.27","boin12"
"16","1","1","64.9199999999963","78.7100000000034","57.7893749999955","75.9256249999993","3.22","5.95562500000014","21.8600000000006","1.09","boin12"
"18","1","1","65.8799999999968","78.9900000000035","58.6438888888921","75.9855555555578","3.25","5.50777777777797","18.8600000000001","1.02","boin12"
"20","1","1","65.7799999999967","78.8400000000034","58.8035000000039","75.6405000000034","3.54","5.18699999999997","17.4999999999999","0.940000000000001","boin12"
"22","1","1","66.289999999997","79.5400000000038","59.5854545454505","76.7895454545447","4.1","4.95999999999992","19.3600000000002","0.76","boin12"
"24","1","1","67.6399999999977","80.7000000000044","60.6149999999959","76.845833333333","4.09","4.58250000000004","16.9899999999999","0.74","boin12"
"26","1","1","67.7399999999977","80.5400000000043","61.116538461542","77.5303846153881","3.74","4.3580769230768","17.5499999999999","0.72","boin12"
"28","1","1","67.5199999999976","80.8200000000044","61.5378571428588","77.5782142857134","4.11","3.99178571428568","17.4099999999999","0.58","boin12"
"30","1","1","67.3799999999976","80.9700000000045","61.7470000000012","77.8616666666668","4.21","4.07333333333318","16.3199999999998","0.67","boin12"
"8","2","1","45.3799999999995","76.3200000000021","46.7849999999954","83.9325000000027","2.38","11.0300000000003","27.7500000000015","5.36999999999993","boin12"
"10","2","1","46.0599999999994","76.8600000000024","47.0790000000011","83.6340000000053","3.02","10.029","21.5400000000006","4.56999999999995","boin12"
"12","2","1","47.6699999999991","78.5100000000033","48.1991666666628","83.8441666666699","3.01","8.97666666666678","28.2800000000016","4.03999999999996","boin12"
"14","2","1","47.8099999999991","79.5100000000038","49.0578571428595","84.262857142862","3.37","8.28","23.990000000001","3.48999999999997","boin12"
"16","2","1","48.4099999999989","79.7500000000039","50.0368749999956","84.4506250000032","3.64","7.43375000000022","29.5600000000018","3.25999999999997","boin12"
"18","2","1","49.0599999999988","80.2500000000041","50.820000000001","84.537222222227","4.05","7.02111111111141","26.0400000000013","2.91999999999998","boin12"
"20","2","1","50.0399999999986","81.1500000000046","51.8745000000026","84.8890000000057","3.84","6.62199999999992","23.8800000000009","3.02999999999998","boin12"
"22","2","1","50.5199999999985","81.840000000005","51.9395454545418","85.0427272727306","4.11","6.49227272727245","25.5300000000012","2.64999999999999","boin12"
"24","2","1","51.5599999999983","82.3700000000052","53.4141666666626","85.6129166666707","3.86","5.91999999999989","23.2900000000008","2.49999999999999","boin12"
"26","2","1","50.6899999999985","82.2700000000052","53.3192307692332","85.7476923076985","4.06","5.70346153846153","24.8000000000011","2.37999999999999","boin12"
"28","2","1","51.3099999999984","83.0500000000056","53.6400000000017","85.6350000000034","4.14","5.25214285714296","23.3300000000008","2.1","boin12"
"30","2","1","50.9699999999984","82.8300000000055","54.2210000000009","85.6980000000045","4.4","5.07433333333337","21.6000000000006","1.98","boin12"
