"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","66.1199999999969","76.8000000000024","61.2924999999944","76.1587499999984","2.58","5.61375000000003","28.4300000000016","1.46","printe"
"10","1","1","66.5199999999971","76.8200000000024","59.9339999999966","74.6880000000013","2.86","5.44599999999994","27.5300000000015","1.42","printe"
"12","1","1","65.4199999999966","76.090000000002","57.789166666662","72.9633333333318","3.24","5.43500000000006","35.4400000000015","0.940000000000001","printe"
"14","1","1","67.0399999999974","77.930000000003","57.7757142857145","72.1878571428579","3.01","5.17428571428574","33.9800000000018","0.910000000000001","printe"
"16","1","1","66.5999999999972","77.3800000000027","56.8681249999952","71.239999999997","3.42","5.02562500000004","37.4200000000011","0.67","printe"
"18","1","1","66.7299999999972","77.6600000000028","56.6344444444426","71.3399999999989","3.15","4.87888888888897","37.1000000000012","0.7","printe"
"20","1","1","66.7499999999972","77.5200000000028","55.9350000000004","70.3515000000002","3.72","4.64549999999998","37.2900000000012","0.71","printe"
"22","1","1","67.2599999999975","78.1200000000031","56.0095454545411","70.2486363636334","3.51","4.53000000000002","38.080000000001","0.47","printe"
"24","1","1","67.2899999999975","78.2000000000031","55.765833333329","69.3654166666636","3.74","4.31083333333339","37.7500000000011","0.47","printe"
"26","1","1","66.7299999999972","77.8900000000029","55.4996153846166","69.5523076923081","3.71","3.94615384615382","38.4800000000009","0.45","printe"
"28","1","1","68.3699999999981","79.3300000000037","55.0549999999975","69.164999999998","3.59","3.76000000000003","38.8200000000008","0.25","printe"
"30","1","1","67.9599999999979","79.1300000000036","55.4293333333295","69.0016666666645","4.06","3.78166666666658","38.150000000001","0.35","printe"
"8","2","1","58.7099999999969","81.4900000000048","63.0162499999941","87.6487500000054","2.79","5.38000000000003","26.8100000000014","3.83999999999996","printe"
"10","2","1","57.979999999997","81.5200000000048","60.8729999999962","86.9760000000073","2.99","5.19499999999993","27.0000000000014","3.09999999999998","printe"
"12","2","1","55.8599999999975","80.6900000000044","59.0241666666619","86.2375000000052","3.37","5.37000000000005","33.8800000000018","2.70999999999999","printe"
"14","2","1","57.6799999999971","81.4000000000047","58.9721428571432","85.7478571428637","3.51","5.30428571428573","32.940000000002","2.60999999999999","printe"
"16","2","1","56.8499999999973","81.4000000000047","57.8793749999949","85.3406250000047","3.78","4.85062500000004","36.7700000000013","2.05","printe"
"18","2","1","56.6399999999973","82.2500000000052","57.012777777776","85.3533333333387","3.76","4.72555555555563","37.4300000000011","1.98","printe"
"20","2","1","57.3599999999972","82.6700000000054","57.3484999999999","85.4330000000069","3.82","4.60499999999998","35.8600000000014","1.98","printe"
"22","2","1","57.3499999999972","82.0500000000051","56.8640909090864","84.5159090909135","4","4.28454545454549","37.6100000000011","1.68","printe"
"24","2","1","58.049999999997","82.8800000000055","57.3258333333287","84.6775000000049","3.88","4.08416666666673","36.4400000000013","1.66","printe"
"26","2","1","56.9599999999972","81.840000000005","56.1146153846162","83.7588461538529","4.25","4.00884615384613","38.040000000001","1.49","printe"
"28","2","1","57.6999999999971","82.8100000000055","56.5639285714258","84.3957142857187","4.14","3.73321428571431","37.1200000000012","1.36","printe"
"30","2","1","57.8499999999971","82.9600000000055","56.4906666666627","84.1430000000048","4","3.63366666666658","37.4000000000011","1.11","printe"
