"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","38.2","54.0000000000002","36.6499999999999","52.9499999999999","4","4.375","41.6000000000001","3.2","efftox"
"10","1","1","40.6","53.6000000000002","36.8599999999999","51.12","4.4","4.68","40.8","3.2","efftox"
"12","1","1","38.2","51.4000000000002","36.2166666666666","49.3166666666665","6","3.9","49.2000000000002","1.6","efftox"
"14","1","1","42.6000000000001","58.8000000000003","39.757142857143","56.3","4.4","3.55714285714285","43.0000000000001","1.6","efftox"
"16","1","1","42.0000000000001","58.8000000000003","36.5625","53.8625000000001","4.2","3.0125","51.4000000000002","1.4","efftox"
"18","1","1","43.6000000000001","58.0000000000003","37.1777777777779","54.2666666666669","4","2.91111111111111","49.6000000000002","1","efftox"
"20","1","1","45.4000000000001","59.2000000000003","41.97","55.88","7.4","2.44","42.8000000000001","0","efftox"
"22","1","1","48.4000000000001","62.0000000000003","43.4454545454544","58.5999999999999","5.4","2.08181818181818","42.6000000000001","0.6","efftox"
"24","1","1","43.6000000000001","62.0000000000003","40.8666666666666","58.6666666666667","7.2","2.39166666666667","47.8000000000001","0.6","efftox"
"26","1","1","47.8000000000001","61.6000000000003","43.5923076923078","57.2769230769233","7.8","2.11538461538461","43.6000000000001","0.2","efftox"
"28","1","1","48.4000000000001","62.6000000000003","43.5571428571429","57.8428571428573","5.6","1.92142857142857","46.6000000000001","0.2","efftox"
"30","1","1","45.8000000000001","62.6000000000003","42.3200000000001","58.6933333333334","7.2","1.58666666666667","45.0000000000001","0.8","efftox"
"8","2","1","20.8","46.0000000000001","23.3999999999999","47.9249999999999","4.8","16.3","68.2000000000004","15.2","efftox"
"10","2","1","21.8","46.2000000000001","22.4399999999999","47.98","5.2","15.6","67.0000000000004","11.2","efftox"
"12","2","1","22","49.2000000000002","21.9833333333334","48.5833333333332","6.4","13.85","72.4000000000005","9.2","efftox"
"14","2","1","29.7999999999999","57.6000000000003","24.6428571428573","52.3142857142858","7.2","13.5285714285714","64.4000000000004","6.6","efftox"
"16","2","1","23.9999999999999","52.4000000000002","22.2374999999999","49.2375","8.6","12.55","73.4000000000005","4","efftox"
"18","2","1","24.5999999999999","56.6000000000003","24.2444444444446","53.2111111111113","4.8","11.6444444444444","66.6000000000004","5.4","efftox"
"20","2","1","22.8","54.0000000000002","21.5900000000001","51.92","5.2","11.36","71.8000000000005","5.4","efftox"
"22","2","1","25.5999999999999","57.2000000000003","22.9454545454545","53.8727272727271","8.2","8.87272727272728","71.2000000000005","3","efftox"
"24","2","1","27.9999999999999","55.8000000000003","23.7666666666666","51.2249999999999","8.2","11.6666666666667","68.0000000000004","5","efftox"
"26","2","1","29.9999999999999","60.8000000000003","25.0307692307694","53.869230769231","7.6","9.53846153846152","68.6000000000004","3","efftox"
"28","2","1","29.7999999999999","60.0000000000003","24.8428571428571","54.5357142857144","8","9.06428571428571","69.0000000000004","3","efftox"
"30","2","1","27.5999999999999","56.2000000000003","24.54","52.5866666666668","9.2","9.42666666666667","69.0000000000004","4","efftox"
