"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","42.6300000000001","57.3899999999972","32.0350000000004","45.0274999999991","0.73","4.90250000000002","46.4999999999993","1.29","ji3"
"10","1","1","43.3699999999999","58.8599999999969","33.9550000000004","47.3050000000013","0.89","5.08899999999991","42.1600000000002","0.970000000000001","ji3"
"12","1","1","44.5099999999997","60.7699999999965","34.4716666666646","48.8291666666647","1.11","5.18333333333339","48.6899999999989","0.880000000000001","ji3"
"14","1","1","45.6899999999995","61.5699999999963","35.9607142857152","50.1307142857159","1.65","4.86142857142859","45.2099999999996","0.68","ji3"
"16","1","1","45.9499999999994","62.7699999999961","36.6118749999978","51.1143749999971","1.69","5.05062500000003","47.849999999999","0.58","ji3"
"18","1","1","46.8399999999993","63.329999999996","37.710555555555","52.3733333333346","2.03","4.4344444444445","46.8199999999993","0.51","ji3"
"20","1","1","47.1099999999992","64.239999999996","38.396000000001","53.5295000000019","1.94","4.46149999999998","45.2599999999996","0.39","ji3"
"22","1","1","48.8399999999989","64.9999999999963","39.9227272727251","54.7645454545425","2.21","4.13772727272733","45.0799999999996","0.39","ji3"
"24","1","1","49.1299999999988","65.5699999999966","40.6066666666643","55.8520833333297","2.25","3.93458333333339","44.4499999999997","0.36","ji3"
"26","1","1","48.6999999999989","65.9999999999969","40.7230769230774","56.4896153846168","2.62","3.83384615384612","46.5199999999993","0.25","ji3"
"28","1","1","48.8599999999988","65.5299999999966","40.4042857142863","56.0525000000021","2.56","3.66535714285716","46.7199999999993","0.26","ji3"
"30","1","1","48.9799999999988","65.4999999999966","41.996666666666","56.9276666666659","2.65","3.40799999999992","44.8599999999996","0.14","ji3"
"8","2","1","42.9","58.019999999997","29.6087500000004","40.72","0.83","5.41125000000003","49.7399999999987","2.55999999999999","ji3"
"10","2","1","43.6699999999999","59.6299999999967","31.4700000000004","43.6740000000011","1.09","5.58599999999992","45.2299999999996","2.30999999999999","ji3"
"12","2","1","44.8699999999996","60.8399999999965","32.7733333333314","45.4441666666654","1.21","5.52666666666673","50.4199999999985","1.71","ji3"
"14","2","1","45.6599999999995","62.8699999999961","34.3564285714293","48.6114285714302","1.39","5.63214285714288","46.5499999999993","1.78","ji3"
"16","2","1","46.3499999999993","63.7399999999959","35.443124999998","49.9624999999976","1.56","5.43375000000004","48.7499999999989","1.43","ji3"
"18","2","1","47.3599999999991","64.1299999999959","36.0633333333328","50.640555555557","2.02","4.98888888888898","47.5099999999991","1.3","ji3"
"20","2","1","48.049999999999","64.4899999999961","37.0025000000009","51.8155000000017","1.75","5.00649999999998","45.6099999999995","1.35","ji3"
"22","2","1","47.6299999999991","64.9599999999963","37.6063636363617","53.1763636363608","2.11","4.44409090909095","46.8799999999992","0.990000000000001","ji3"
"24","2","1","48.149999999999","65.4699999999966","38.2433333333312","53.7658333333303","2.22","4.11750000000005","46.4199999999993","0.820000000000001","ji3"
"26","2","1","48.039999999999","65.3699999999965","38.0776923076924","53.7484615384623","2.49","4.13423076923074","48.239999999999","0.880000000000001","ji3"
"28","2","1","49.3199999999988","66.0599999999969","39.345714285715","54.8225000000021","2.18","3.9589285714286","46.9499999999992","0.69","ji3"
"30","2","1","49.3799999999987","66.6399999999972","40.4193333333331","56.3123333333323","2.77","3.97266666666656","45.7199999999995","0.76","ji3"
