"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","33.4900000000019","48.109999999999","20.5637500000005","32.5912500000005","1.6","2.76375","53.7299999999979","0.52","tepi"
"10","1","1","36.7400000000013","52.7499999999981","23.5400000000009","36.6780000000008","2.07","3.71199999999991","44.1399999999998","0.58","tepi"
"12","1","1","40.2500000000006","55.0199999999976","25.6474999999983","39.1058333333321","2.34","4.19416666666667","52.6199999999981","0.48","tepi"
"14","1","1","41.3200000000003","56.7899999999973","27.6600000000002","41.7578571428585","2.45","4.2607142857143","47.849999999999","0.58","tepi"
"16","1","1","42.0600000000002","57.899999999997","29.3362499999987","43.9093749999987","2.71","4.30500000000004","52.8099999999981","0.38","tepi"
"18","1","1","42.5100000000001","58.5499999999969","30.6211111111094","45.2383333333324","3.21","4.31500000000005","49.9299999999986","0.24","tepi"
"20","1","1","42.4900000000001","58.8199999999969","31.4735000000002","46.663000000001","3.71","4.08899999999998","48.339999999999","0.3","tepi"
"22","1","1","43.6699999999999","59.8399999999967","33.309545454544","48.8540909090895","3.28","4.25681818181823","49.6399999999987","0.28","tepi"
"24","1","1","43.3599999999999","59.6699999999967","34.4491666666652","49.8545833333313","3.32","4.01916666666674","47.1499999999992","0.18","tepi"
"26","1","1","44.7099999999997","61.0799999999964","34.5061538461542","50.2511538461557","4.05","3.93615384615382","48.5999999999989","0.23","tepi"
"28","1","1","45.0799999999996","60.8099999999965","35.6889285714295","51.5489285714296","4.09","3.59107142857146","47.0299999999992","0.17","tepi"
"30","1","1","44.3699999999997","60.1799999999966","36.0920000000005","51.8093333333338","4.34","3.66999999999993","45.9899999999994","0.12","tepi"
"8","2","1","36.3200000000013","47.2099999999992","20.5800000000005","29.2800000000007","1.48","3.10375000000001","52.979999999998","1.69","tepi"
"10","2","1","41.4600000000003","53.209999999998","24.2000000000009","35.1700000000009","1.65","3.90299999999989","41.6400000000003","1.72","tepi"
"12","2","1","42.4900000000001","54.2499999999978","26.8374999999984","38.8208333333327","2.09","4.38333333333336","50.0799999999986","1.48","tepi"
"14","2","1","44.0199999999998","55.9799999999974","28.8521428571432","41.8028571428583","2.28","4.49357142857144","45.4099999999995","1.53","tepi"
"16","2","1","45.3799999999995","58.4499999999969","30.6306249999987","44.7974999999993","2.51","4.31187500000004","49.9699999999986","1.07","tepi"
"18","2","1","47.0699999999992","59.6299999999967","32.1755555555537","46.902222222221","2.77","4.55500000000007","47.3899999999991","0.850000000000001","tepi"
"20","2","1","46.5899999999993","59.2299999999968","34.1185000000005","48.9330000000011","2.74","4.44299999999998","43.9999999999998","0.890000000000001","tepi"
"22","2","1","46.2999999999994","59.0699999999968","34.2790909090897","50.0340909090901","3.47","4.19863636363642","47.3499999999991","0.75","tepi"
"24","2","1","47.889999999999","60.7199999999965","35.4612499999985","51.7774999999983","3.21","3.98500000000007","45.1099999999996","0.5","tepi"
"26","2","1","46.2199999999994","59.0499999999968","36.2473076923083","52.6800000000022","3.4","3.94923076923073","45.2099999999996","0.58","tepi"
"28","2","1","48.149999999999","60.3999999999966","36.9092857142867","53.442500000001","3.71","3.62464285714289","44.6999999999997","0.35","tepi"
"30","2","1","48.4999999999989","60.4399999999965","38.5046666666669","54.7790000000005","3.88","3.80466666666657","43.1","0.42","tepi"
