"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","32.1700000000022","47.6599999999991","23.1087500000006","35.7700000000007","0.86","2.02874999999997","49.9899999999986","0.52","utpi"
"10","1","1","33.9300000000018","49.5799999999987","25.7510000000009","39.3020000000009","1.27","1.99999999999996","43.5699999999999","0.42","utpi"
"12","1","1","35.6900000000015","51.6499999999983","27.8749999999998","41.815833333333","1.4","1.91333333333331","47.1199999999992","0.43","utpi"
"14","1","1","36.1300000000014","52.5299999999981","28.9050000000009","43.1728571428583","1.67","1.86285714285712","44.3399999999997","0.36","utpi"
"16","1","1","37.890000000001","54.3099999999978","30.5174999999991","44.7256249999986","1.98","1.68000000000002","52.8599999999981","0.32","utpi"
"18","1","1","38.7600000000009","55.6199999999975","31.2627777777767","46.1455555555551","2.55","1.58500000000001","50.5099999999985","0.25","utpi"
"20","1","1","38.8800000000008","55.3499999999976","31.8480000000008","46.7225000000008","2.38","1.42899999999997","49.0699999999988","0.25","utpi"
"22","1","1","41.1500000000004","56.9699999999972","33.2159090909079","47.6636363636345","2.82","1.47363636363638","50.7999999999985","0.27","utpi"
"24","1","1","40.8200000000004","58.039999999997","33.837083333332","49.2191666666643","3.1","1.35458333333333","50.0099999999986","0.2","utpi"
"26","1","1","41.4700000000003","58.189999999997","34.3503846153857","49.468076923079","2.87","1.3273076923077","51.0799999999984","0.13","utpi"
"28","1","1","42.4400000000001","59.4999999999967","35.122142857144","50.4232142857153","3.25","1.28142857142857","49.8299999999987","0.14","utpi"
"30","1","1","42.85","59.4199999999967","35.7926666666672","51.1186666666675","3.6","1.26366666666665","48.6199999999989","0.15","utpi"
"8","2","1","34.1300000000018","43.22","21.0075000000005","27.938750000001","0.61","2.16499999999998","53.9799999999978","0.950000000000001","utpi"
"10","2","1","36.2900000000013","46.6899999999993","24.1110000000007","32.212000000001","1.02","2.08799999999996","48.7099999999989","1.03","utpi"
"12","2","1","37.0400000000012","47.1699999999992","26.2491666666659","34.4533333333328","1.15","2.03333333333332","54.8499999999977","0.820000000000001","utpi"
"14","2","1","38.280000000001","48.7299999999989","27.7914285714294","36.5650000000013","1.44","1.77428571428569","53.219999999998","0.62","utpi"
"16","2","1","39.1400000000008","49.7199999999987","28.8174999999994","37.764999999999","1.57","1.89062500000002","56.4799999999973","0.77","utpi"
"18","2","1","40.3500000000005","50.8799999999984","30.6183333333326","39.5861111111104","1.52","1.77666666666668","53.8299999999979","0.51","utpi"
"20","2","1","40.1000000000006","50.7699999999985","31.1615000000006","40.3075000000008","1.91","1.69049999999996","53.169999999998","0.63","utpi"
"22","2","1","41.2700000000004","52.7099999999981","32.0295454545442","41.9504545454528","1.99","1.67045454545456","54.2399999999978","0.47","utpi"
"24","2","1","42.1200000000002","52.889999999998","33.3179166666652","42.8758333333313","2.01","1.58958333333333","52.3399999999982","0.49","utpi"
"26","2","1","42.0200000000002","52.929999999998","33.6234615384618","43.3188461538477","2.1","1.34307692307694","53.7899999999979","0.24","utpi"
"28","2","1","41.4700000000003","52.6599999999981","33.722500000001","43.6571428571436","2.48","1.47035714285714","53.5599999999979","0.4","utpi"
"30","2","1","43.09","54.0499999999978","34.9290000000006","44.9480000000009","2.56","1.44666666666664","52.0699999999982","0.26","utpi"
