"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","30.910000000002","54.3399999999978","19.0949999999999","52.6912499999975","1.57","11.0112500000001","71.2099999999995","2.23","printe"
"10","1","1","32.7300000000021","55.3499999999976","20.8560000000001","52.9639999999992","2.02","10.113","68.9899999999984","1.5","printe"
"12","1","1","32.3800000000021","55.1999999999976","21.3916666666663","52.5541666666642","2.42","9.20416666666678","70.4099999999991","1.15","printe"
"14","1","1","32.7100000000021","56.1099999999974","22.5157142857143","52.2235714285711","2.38","8.40285714285723","69.0199999999984","1.02","printe"
"16","1","1","32.790000000002","56.2499999999974","23.1381249999993","52.3699999999972","2.53","8.12625000000007","69.8199999999988","0.930000000000001","printe"
"18","1","1","32.960000000002","56.6899999999973","23.5866666666664","52.0777777777763","2.69","7.43888888888909","69.0799999999984","0.74","printe"
"20","1","1","33.7800000000018","56.7299999999973","24.1935","51.8084999999998","2.93","7.26049999999997","68.179999999998","0.67","printe"
"22","1","1","34.1100000000018","56.8099999999973","24.9413636363628","51.849999999997","3.13","6.78090909090894","68.0399999999979","0.53","printe"
"24","1","1","33.3800000000019","56.8399999999973","24.8887499999991","51.6291666666635","3.17","6.11916666666663","67.9699999999979","0.47","printe"
"26","1","1","34.2500000000018","57.8099999999971","26.0538461538456","52.4080769230767","3","5.91884615384612","67.2099999999975","0.47","printe"
"28","1","1","33.8000000000018","57.2499999999972","25.5025000000003","51.6835714285708","3.21","5.54392857142862","67.7299999999977","0.36","printe"
"30","1","1","34.0200000000018","57.6499999999971","25.8683333333339","51.7086666666658","3.68","5.39433333333336","67.3899999999976","0.32","printe"
"8","2","1","26.1800000000013","66.5199999999971","18.9199999999999","73.0949999999994","1.74","11.0875000000001","71.5299999999997","4.46999999999995","printe"
"10","2","1","28.3400000000016","67.0899999999974","20.898","72.9890000000006","2.17","10.056","69.0899999999984","3.37999999999997","printe"
"12","2","1","27.8300000000016","66.9499999999973","21.6483333333329","72.7349999999994","2.45","9.23333333333343","70.279999999999","3.43999999999997","printe"
"14","2","1","28.0200000000016","67.2899999999975","22.6121428571428","72.5750000000005","2.73","8.7950000000001","69.0299999999984","3.13999999999998","printe"
"16","2","1","28.2600000000016","68.0399999999979","23.1443749999993","72.9181249999994","2.88","8.06250000000008","70.189999999999","2.52999999999999","printe"
"18","2","1","28.0100000000016","68.7599999999983","23.4511111111108","72.7833333333332","2.62","7.31777777777799","69.5399999999987","2.30999999999999","printe"
"20","2","1","28.9000000000017","68.8499999999983","24.4605","72.5685000000004","3.09","6.97199999999998","68.0499999999979","2.02","printe"
"22","2","1","28.5100000000017","68.5299999999982","24.5109090909083","72.692272727272","3.04","6.76272727272715","68.6399999999982","2.28","printe"
"24","2","1","29.1500000000018","68.7599999999983","24.986249999999","71.9733333333323","3.55","6.10374999999995","68.0999999999979","1.72","printe"
"26","2","1","29.1600000000018","69.1699999999985","25.9438461538456","72.6876923076931","3.51","5.94076923076922","67.5599999999977","1.76","printe"
"28","2","1","28.8500000000017","68.4799999999981","25.6428571428574","71.794285714285","3.3","5.51428571428578","67.8099999999978","1.56","printe"
"30","2","1","29.6800000000018","69.8799999999988","26.1156666666672","72.5163333333333","3.7","5.35666666666669","67.0999999999974","1.45","printe"
