"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","53.289999999998","70.6299999999992","41.9262499999982","69.549999999998","2.31","8.32125000000004","40.9200000000004","1.88","utpi"
"10","1","1","55.9999999999974","72.8800000000004","44.2330000000009","70.4700000000002","2.67","7.60299999999998","36.7300000000013","1.53","utpi"
"12","1","1","56.6199999999973","73.6900000000008","45.396666666664","70.689999999998","2.64","7.00083333333351","39.0300000000008","1.14","utpi"
"14","1","1","57.6299999999971","74.4000000000012","47.0714285714305","71.6807142857156","3.09","6.34500000000001","36.1500000000014","0.960000000000001","utpi"
"16","1","1","58.019999999997","75.0100000000015","47.8368749999966","72.3524999999989","2.98","6.0475000000001","39.0000000000008","0.920000000000001","utpi"
"18","1","1","57.2499999999972","74.4000000000012","48.4444444444462","71.9316666666679","3.26","5.49555555555571","37.960000000001","0.81","utpi"
"20","1","1","59.0999999999968","75.8800000000019","49.8440000000024","72.4630000000018","3.35","5.06049999999997","36.2600000000014","0.61","utpi"
"22","1","1","58.7799999999969","75.8900000000019","50.4509090909054","72.9949999999986","3.35","4.66363636363638","37.5400000000011","0.41","utpi"
"24","1","1","60.3299999999966","76.7800000000024","51.7333333333292","73.5016666666656","3.7","4.23833333333341","35.6800000000015","0.43","utpi"
"26","1","1","59.6899999999967","76.7100000000023","51.9365384615413","74.035769230772","3.91","4.06115384615376","36.8900000000012","0.34","utpi"
"28","1","1","59.6399999999967","76.9300000000025","52.2407142857153","73.9192857142846","3.77","3.8725","36.5100000000013","0.35","utpi"
"30","1","1","58.8699999999969","76.6300000000023","51.7556666666682","73.9590000000009","3.8","3.5973333333332","37.4700000000011","0.24","utpi"
"8","2","1","45.7499999999995","76.8800000000024","40.3137499999978","81.8375000000033","2.17","8.56750000000002","42.4000000000001","3.56999999999997","utpi"
"10","2","1","47.4499999999991","78.4200000000032","41.3600000000013","82.1640000000047","2.78","7.86100000000004","39.8300000000006","2.89999999999998","utpi"
"12","2","1","48.9199999999988","78.6800000000033","42.6674999999969","82.150833333337","2.79","7.4683333333335","45.0299999999996","2.57999999999999","utpi"
"14","2","1","49.1399999999988","79.8200000000039","43.8671428571442","82.615714285719","2.96","6.51","43.03","1.96","utpi"
"16","2","1","48.8399999999989","80.020000000004","44.0987499999966","82.6750000000039","3.07","6.1187500000001","45.5399999999995","1.8","utpi"
"18","2","1","48.4799999999989","79.970000000004","44.2544444444458","82.5400000000042","3.25","5.65166666666682","44.7499999999997","1.69","utpi"
"20","2","1","49.0799999999988","79.8500000000039","44.5985000000015","82.3850000000051","3.74","5.51599999999996","44.2199999999998","1.83","utpi"
"22","2","1","50.4499999999985","80.4200000000042","45.6963636363598","82.2609090909127","3.24","4.99181818181814","44.6099999999997","1.28","utpi"
"24","2","1","50.3199999999986","81.0000000000045","46.2391666666627","82.7645833333372","3.73","4.64125000000002","44.4299999999997","1.15","utpi"
"26","2","1","50.6899999999985","80.6500000000044","47.1100000000015","82.5330769230827","3.92","4.41230769230764","43.9999999999998","1.04","utpi"
"28","2","1","49.4499999999987","81.1900000000046","45.826785714287","82.9582142857169","3.64","4.40071428571431","45.3299999999996","1.12","utpi"
"30","2","1","51.6599999999983","82.1400000000051","47.6460000000014","83.4150000000034","3.92","4.10266666666656","43.31","0.55","utpi"
