"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","68.0399999999979","77.7300000000029","58.7312499999951","70.9599999999968","1.09","7.6025","28.9700000000017","1.46","boinet"
"10","1","1","67.4599999999976","77.8300000000029","58.3129999999971","70.863","1.61","6.822","27.2100000000015","0.990000000000001","boinet"
"12","1","1","67.0899999999974","77.7700000000029","56.9316666666622","69.6274999999969","2.08","6.24500000000012","33.2900000000019","0.74","boinet"
"14","1","1","68.5599999999982","79.5300000000038","57.4778571428579","70.4178571428576","2.58","6.09571428571429","30.950000000002","0.67","boinet"
"16","1","1","68.1199999999979","79.0500000000035","56.948124999996","69.6949999999972","2.78","5.54937500000007","34.8900000000016","0.54","boinet"
"18","1","1","69.1099999999985","79.4100000000037","56.9327777777767","69.3633333333326","3.05","5.25111111111122","33.3700000000019","0.5","boinet"
"20","1","1","68.6299999999982","78.9500000000035","57.4925000000005","69.748500000001","3.26","5.02149999999998","31.8800000000022","0.47","boinet"
"22","1","1","69.4399999999986","80.4300000000042","57.8577272727234","70.3154545454521","3.39","4.5909090909091","33.230000000002","0.39","boinet"
"24","1","1","69.2699999999985","79.6700000000039","57.7870833333292","69.9720833333306","3.62","4.37541666666671","33.010000000002","0.56","boinet"
"26","1","1","69.4299999999986","79.8200000000039","57.602307692309","69.9307692307708","3.84","4.06807692307686","33.8400000000018","0.27","boinet"
"28","1","1","69.6199999999987","80.4000000000042","57.5935714285692","70.063214285713","3.69","3.91285714285714","33.8500000000018","0.27","boinet"
"30","1","1","69.2299999999985","79.8100000000039","57.69633333333","69.9873333333318","4","3.82733333333322","33.240000000002","0.3","boinet"
"8","2","1","61.7999999999963","78.5300000000033","57.9862499999953","76.378749999999","1.23","8.12375000000002","28.0500000000016","2.66999999999999","boinet"
"10","2","1","62.4899999999961","79.0400000000035","58.0059999999975","76.5340000000024","1.9","7.04999999999999","26.4900000000013","2.14","boinet"
"12","2","1","62.3699999999962","79.5100000000038","57.0349999999961","75.9266666666663","2","7.30333333333348","31.8700000000022","2.19","boinet"
"14","2","1","63.309999999996","80.5800000000043","57.5235714285721","76.512142857145","2.33","6.63142857142859","29.6000000000018","2.03","boinet"
"16","2","1","63.189999999996","80.5500000000043","57.2199999999958","76.4199999999998","2.67","6.09000000000009","33.190000000002","1.85","boinet"
"18","2","1","62.3599999999962","80.7800000000044","56.5544444444433","76.4466666666679","2.97","5.40000000000012","33.3000000000019","1.65","boinet"
"20","2","1","62.999999999996","80.3400000000042","57.2230000000008","76.3515000000027","3.43","5.12899999999998","31.5900000000021","1.34","boinet"
"22","2","1","62.3699999999962","81.0700000000046","57.5586363636325","77.0340909090913","3.57","4.81136363636362","32.800000000002","1.29","boinet"
"24","2","1","63.049999999996","81.1700000000046","57.2383333333294","76.9791666666673","3.69","4.58583333333336","32.960000000002","1.3","boinet"
"26","2","1","63.6099999999959","81.3300000000047","57.7553846153858","77.2307692307725","3.87","4.41153846153841","33.3800000000019","1.33","boinet"
"28","2","1","62.6299999999961","81.4400000000048","57.3117857142838","77.3307142857139","3.93","4.13214285714287","33.190000000002","1.02","boinet"
"30","2","1","63.239999999996","81.1800000000046","57.5563333333304","76.9183333333335","3.9","4.1399999999999","32.6600000000021","1.01","boinet"
