"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","67.3199999999975","77.8700000000029","62.1824999999952","72.5587499999972","1.57","3.53375000000004","17.99","1.09","stein"
"10","1","1","66.369999999997","77.1700000000026","62.1009999999979","72.8990000000013","2.48","3.25499999999991","15.8999999999997","0.880000000000001","stein"
"12","1","1","67.3599999999976","77.8100000000029","61.6216666666626","72.259166666665","2.83","3.16999999999999","23.0500000000008","0.74","stein"
"14","1","1","67.5399999999976","78.4300000000032","61.7257142857141","72.655000000001","3.46","3.06857142857143","21.0700000000005","0.67","stein"
"16","1","1","67.7299999999977","78.9400000000035","61.5962499999959","72.7606249999979","3.48","2.99625000000001","25.1100000000011","0.54","stein"
"18","1","1","67.1399999999974","78.5000000000033","61.4772222222202","72.8649999999999","4.28","2.66777777777781","24.190000000001","0.52","stein"
"20","1","1","66.7599999999972","78.3900000000032","61.5314999999999","72.8170000000012","4.71","2.59399999999997","22.7300000000008","0.49","stein"
"22","1","1","66.9199999999973","78.8300000000034","61.609090909087","72.9727272727258","5.16","2.48409090909095","25.1300000000011","0.4","stein"
"24","1","1","67.5299999999976","79.3600000000037","62.104999999996","73.6187499999988","4.95","2.21708333333334","23.2100000000008","0.39","stein"
"26","1","1","67.7599999999978","79.2200000000036","62.097307692308","73.3634615384632","5.22","2.1596153846154","24.7900000000011","0.25","stein"
"28","1","1","67.9199999999978","79.3800000000037","62.3035714285699","73.5849999999992","5.43","2.09714285714287","23.8200000000009","0.29","stein"
"30","1","1","67.8399999999978","79.7500000000039","62.0659999999974","73.7473333333333","5.19","2.10666666666663","24.250000000001","0.24","stein"
"8","2","1","63.8999999999959","79.1900000000036","60.9887499999956","74.9824999999984","1.75","3.60125000000004","19.2800000000002","2.28","stein"
"10","2","1","62.8299999999961","78.4500000000032","60.5319999999982","74.5990000000018","2.67","3.3309999999999","16.5999999999998","2.18","stein"
"12","2","1","63.5199999999959","79.4200000000037","60.6008333333296","74.9299999999994","2.82","3.36583333333333","23.4400000000009","1.98","stein"
"14","2","1","63.289999999996","79.6000000000038","60.2464285714287","74.8757142857159","3.4","3.07785714285716","22.2900000000007","1.64","stein"
"16","2","1","63.119999999996","79.5500000000038","60.0487499999961","74.9187499999991","3.72","3.13437500000001","25.9300000000013","1.83","stein"
"18","2","1","64.4199999999961","80.5100000000043","61.1177777777761","75.7233333333348","4.16","2.6227777777778","23.6700000000009","1.37","stein"
"20","2","1","63.379999999996","79.6600000000038","61.0724999999997","75.4915000000024","4.09","2.55699999999996","22.8200000000008","1.49","stein"
"22","2","1","64.1799999999959","80.1700000000041","61.3809090909054","75.7581818181813","4.77","2.49045454545458","24.8100000000011","1.16","stein"
"24","2","1","64.279999999996","80.8700000000045","61.3916666666627","76.2395833333334","4.71","2.32375000000001","23.7800000000009","1.18","stein"
"26","2","1","63.8999999999959","81.4200000000047","60.8934615384618","76.4257692307721","5.12","2.16538461538462","25.7700000000012","0.950000000000001","stein"
"28","2","1","63.6399999999959","80.6200000000043","61.205714285713","76.2492857142857","5.81","2.25535714285715","24.560000000001","1.03","stein"
"30","2","1","64.6999999999962","80.8600000000045","61.9726666666644","76.4826666666673","5.88","2.15733333333328","23.8400000000009","0.940000000000001","stein"
