"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","60.7299999999965","74.4600000000012","35.4849999999983","51.3237499999968","1.14","12.4500000000002","43.7399999999999","1.81","tepi"
"10","1","1","60.9899999999964","74.6000000000013","33.2080000000018","49.6570000000003","1.49","12.463","42.86","1.36","tepi"
"12","1","1","61.3199999999964","75.0200000000015","31.9083333333303","47.27833333333","1.71","12.4649999999999","57.5399999999971","1.2","tepi"
"14","1","1","62.5599999999961","76.1900000000021","31.6621428571421","47.3057142857157","2.1","12.0442857142859","55.4099999999975","1.05","tepi"
"16","1","1","62.7699999999961","76.4000000000022","30.603124999997","46.152499999996","2.05","11.5450000000001","64.2199999999959","0.820000000000001","tepi"
"18","1","1","62.0699999999962","76.5600000000023","30.3433333333303","46.2177777777766","2.14","11.0183333333337","63.129999999996","0.72","tepi"
"20","1","1","62.0399999999962","76.3800000000022","29.6814999999995","45.5465000000011","2.56","10.332","62.8899999999961","0.64","tepi"
"22","1","1","62.1099999999962","76.7700000000024","29.8331818181788","45.4309090909054","2.71","9.85363636363597","65.0899999999964","0.5","tepi"
"24","1","1","62.9199999999961","77.1700000000026","29.5141666666637","45.3558333333297","2.85","9.53749999999976","64.5799999999961","0.45","tepi"
"26","1","1","63.359999999996","77.6800000000028","29.093076923075","44.5200000000012","2.75","9.00307692307685","65.5299999999966","0.4","tepi"
"28","1","1","64.0699999999959","78.070000000003","29.6396428571445","45.213571428572","3.04","8.6550000000001","64.4299999999961","0.39","tepi"
"30","1","1","62.2599999999962","76.8200000000024","28.8186666666696","44.4296666666668","2.72","8.34133333333348","64.4899999999961","0.29","tepi"
"8","2","1","53.279999999998","76.8100000000024","36.7837499999978","65.2724999999957","1.21","12.3712500000001","42.1600000000002","3.86999999999996","tepi"
"10","2","1","53.299999999998","76.7400000000024","35.8460000000013","63.9569999999985","1.59","12.642","39.2800000000008","3.27999999999997","tepi"
"12","2","1","52.909999999998","76.4600000000022","33.9416666666637","63.0824999999957","1.97","12.0083333333332","53.9699999999978","2.56999999999999","tepi"
"14","2","1","53.019999999998","77.3000000000026","32.388571428571","62.4050000000003","2.07","11.662142857143","53.8399999999979","2.44999999999999","tepi"
"16","2","1","52.7399999999981","76.7600000000024","32.1362499999969","62.534374999995","2.24","11.6256250000001","61.7799999999963","2.31999999999999","tepi"
"18","2","1","54.6999999999977","78.040000000003","31.679999999997","62.3594444444436","2.47","11.2538888888893","60.4999999999965","2.06","tepi"
"20","2","1","54.9499999999976","78.2400000000031","31.8599999999995","62.1930000000001","2.32","10.6855","59.4799999999967","1.66","tepi"
"22","2","1","55.6099999999975","79.1300000000036","32.6299999999968","63.4922727272678","2.35","9.81727272727237","61.0599999999964","1.38","tepi"
"24","2","1","54.5399999999977","78.3300000000032","30.9191666666639","62.2879166666614","2.74","9.33499999999983","62.2699999999962","1.05","tepi"
"26","2","1","54.8699999999977","78.7400000000034","30.9334615384596","62.3788461538473","2.86","8.95461538461529","62.7099999999961","1.11","tepi"
"28","2","1","55.4799999999975","79.7000000000039","30.7357142857161","63.1142857142848","3.16","8.80857142857154","62.2799999999962","0.890000000000001","tepi"
"30","2","1","55.9099999999974","78.9100000000035","31.550000000003","63.3903333333306","3.46","8.16200000000019","60.8299999999965","0.78","tepi"
