"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","26.5999999999999","42.0000000000001","27.9249999999999","43.8249999999999","3.4","3.225","54.4000000000002","3.6","efftox"
"10","1","1","37.6","51.2000000000002","34.7799999999999","48.36","4","2.44","41","1","efftox"
"12","1","1","37.4","48.6000000000002","34.45","47.0333333333332","3.8","2.98333333333333","51.6000000000002","2","efftox"
"14","1","1","34.8","49.8000000000002","32.457142857143","47.657142857143","7","3.04285714285714","51.2000000000002","1.6","efftox"
"16","1","1","31.5999999999999","47.8000000000001","31.5375","46.975","5.4","2.1125","57.6000000000003","0.4","efftox"
"18","1","1","35","50.4000000000002","32.4222222222224","47.4000000000002","7.6","2.63333333333333","56.6000000000003","1.4","efftox"
"20","1","1","32.3999999999999","45.8000000000001","31.2700000000001","45.02","7","2.05","54.4000000000002","1.4","efftox"
"22","1","1","32.1999999999999","48.6000000000002","31.6272727272728","47.6454545454545","5.4","2.21818181818181","57.4000000000003","1","efftox"
"24","1","1","35","50.2000000000002","33.0333333333333","48.3333333333333","5.4","2.18333333333333","56.2000000000003","0.8","efftox"
"26","1","1","33.1999999999999","44.6000000000001","32.8769230769232","44.346153846154","7.6","1.98461538461538","57.4000000000003","1.4","efftox"
"28","1","1","39.6","52.8000000000002","36.0642857142858","50.0928571428572","5.6","1.82142857142857","53.6000000000002","0.6","efftox"
"30","1","1","34.6","48.0000000000001","32.6733333333333","46.7866666666668","6.6","2.69333333333333","56.6000000000003","1","efftox"
"8","2","1","28.3999999999999","52.0000000000002","27.4749999999999","46.6749999999998","4","16.95","59.4000000000003","12","efftox"
"10","2","1","28.7999999999999","53.8000000000002","26.3399999999999","47.8","3.6","14.48","56.0000000000003","10.2","efftox"
"12","2","1","28.1999999999999","53.8000000000002","26.2833333333333","47.8833333333331","6.8","14.4833333333333","63.2000000000004","8.8","efftox"
"14","2","1","29.7999999999999","57.6000000000003","27.457142857143","50.1000000000001","7.2","12.7714285714285","57.2000000000003","6.4","efftox"
"16","2","1","31.9999999999999","59.6000000000003","27.5624999999999","50.85","8.8","12.225","61.4000000000003","5.4","efftox"
"18","2","1","33.1999999999999","58.0000000000003","30.2222222222224","51.3666666666669","7.6","12.1111111111111","56.2000000000003","5","efftox"
"20","2","1","37.6","61.8000000000003","30.7400000000001","52.06","9.4","10.07","54.8000000000002","2.4","efftox"
"22","2","1","31.9999999999999","59.2000000000003","27.6454545454545","51.8454545454543","7.2","11.1090909090909","62.0000000000003","4","efftox"
"24","2","1","37.2","63.2000000000004","32.1166666666666","54.4666666666666","8.6","9.29166666666668","55.6000000000003","3.4","efftox"
"26","2","1","34.3999999999999","62.8000000000004","29.3307692307694","53.6923076923079","8.6","10.0307692307692","61.2000000000003","2.8","efftox"
"28","2","1","33.7999999999999","62.2000000000003","28.4642857142857","53.6500000000001","10.2","9.33571428571427","61.8000000000003","3.2","efftox"
"30","2","1","34.1999999999999","61.4000000000003","30.1533333333334","53.7066666666668","10.6","8.06666666666667","59.6000000000003","2.6","efftox"
