"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","43.29","59.9399999999966","39.212499999998","54.7324999999973","0.49","5.81375000000002","42.3000000000002","1.09","ji3"
"10","1","1","42.6200000000001","60.0699999999966","39.9160000000009","55.3880000000009","0.71","5.79099999999993","39.1200000000008","0.74","ji3"
"12","1","1","44.0599999999998","61.8499999999963","40.0274999999971","56.3483333333301","0.8","5.5808333333334","45.2599999999996","0.62","ji3"
"14","1","1","43.8499999999998","61.9799999999962","40.7542857142868","56.492857142859","1.13","5.26571428571432","42.8100000000001","0.65","ji3"
"16","1","1","44.9599999999996","62.7699999999961","41.3781249999969","57.1306249999961","1.62","5.11187500000004","45.5999999999995","0.44","ji3"
"18","1","1","46.6099999999993","64.0299999999959","42.3494444444448","57.9766666666685","1.41","4.63388888888896","43.6999999999999","0.47","ji3"
"20","1","1","46.4599999999993","64.4599999999961","42.5255000000012","58.188500000002","1.81","4.62249999999998","42.95","0.37","ji3"
"22","1","1","46.8199999999993","64.0899999999959","43.9990909090876","59.1986363636322","2.17","4.26863636363642","42.94","0.36","ji3"
"24","1","1","47.0799999999992","65.2199999999965","44.0387499999966","59.9299999999953","1.74","4.12958333333338","42.5300000000001","0.3","ji3"
"26","1","1","46.9899999999992","65.2299999999965","43.9707692307707","59.8561538461561","2.12","3.74384615384613","44.8099999999997","0.2","ji3"
"28","1","1","47.2199999999992","64.8899999999963","43.5953571428582","59.4842857142866","2.29","3.73142857142859","44.6999999999997","0.17","ji3"
"30","1","1","48.3999999999989","66.5999999999972","45.0070000000003","60.9980000000004","2.24","3.46699999999992","43.21","0.17","ji3"
"8","2","1","41.4700000000003","57.1099999999972","36.8062499999982","51.1337499999972","0.37","6.38000000000003","43.9399999999998","2.24","ji3"
"10","2","1","41.5800000000003","57.989999999997","37.740000000001","52.6460000000012","0.71","6.26199999999992","41.1100000000004","1.92","ji3"
"12","2","1","42.7500000000001","59.0499999999968","38.1558333333306","53.5641666666637","0.86","6.20750000000009","46.5999999999993","1.79","ji3"
"14","2","1","43.6699999999999","60.3299999999966","39.325000000001","55.1485714285741","1.19","5.98571428571432","43.5999999999999","1.62","ji3"
"16","2","1","44.3799999999997","61.5299999999963","39.1806249999973","55.2674999999964","1.29","5.86500000000005","47.2399999999992","1.35","ji3"
"18","2","1","44.6299999999997","61.9099999999963","39.5144444444443","55.919444444447","1.62","5.25888888888898","45.9899999999994","1.03","ji3"
"20","2","1","45.1899999999996","62.1799999999962","40.7695000000011","57.1570000000028","1.52","4.97799999999998","44.1699999999998","1.07","ji3"
"22","2","1","44.8699999999996","61.9899999999962","40.726363636361","57.6095454545415","1.8","4.79363636363638","45.5799999999995","0.940000000000001","ji3"
"24","2","1","46.2699999999994","63.7399999999959","41.6720833333304","58.5879166666622","1.86","4.48958333333337","44.0599999999998","0.820000000000001","ji3"
"26","2","1","46.4099999999993","63.9099999999959","41.8965384615394","59.1080769230793","2.14","4.20307692307689","46.4999999999993","0.69","ji3"
"28","2","1","45.7499999999995","62.6199999999961","41.6017857142867","58.4303571428585","2.08","4.15250000000002","46.6099999999993","0.79","ji3"
"30","2","1","46.3699999999993","63.9199999999959","42.7170000000003","59.8683333333345","2.27","3.89199999999989","44.4899999999997","0.67","ji3"
