"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","31.7300000000022","47.1699999999992","20.7975000000005","33.81375","1.05","2.02499999999997","53.4399999999979","0.5","boin12"
"10","1","1","34.9100000000016","51.0999999999984","22.8380000000006","36.3170000000009","1.59","2.16499999999992","43.3999999999999","0.7","boin12"
"12","1","1","36.7700000000013","52.909999999998","24.3499999999986","38.2824999999985","2.19","2.04083333333329","54.4899999999977","0.56","boin12"
"14","1","1","38.070000000001","54.7399999999977","25.933571428572","39.9507142857153","2.46","1.98285714285709","47.7099999999991","0.58","boin12"
"16","1","1","39.7900000000007","56.8599999999973","26.553749999999","41.0087499999986","3.09","1.83375000000005","54.6399999999977","0.45","boin12"
"18","1","1","40.8000000000005","57.7799999999971","27.7277777777766","42.4094444444438","3.44","1.82333333333336","48.5999999999989","0.54","boin12"
"20","1","1","41.7600000000003","58.5999999999969","28.4930000000005","42.883000000001","4.04","1.75099999999993","44.9799999999996","0.44","boin12"
"22","1","1","42.5000000000001","59.0099999999968","29.1945454545442","43.4713636363624","4.51","1.6336363636364","48.079999999999","0.39","boin12"
"24","1","1","43.4199999999999","60.6099999999965","29.607499999999","44.3641666666651","4.77","1.60750000000001","45.6599999999995","0.41","boin12"
"26","1","1","45.2199999999996","61.8499999999963","31.1607692307692","45.6838461538472","4.99","1.52038461538465","46.5299999999993","0.34","boin12"
"28","1","1","45.2099999999996","62.4599999999961","31.3385714285725","46.049642857144","5.55","1.45500000000001","44.0299999999998","0.42","boin12"
"30","1","1","44.9999999999996","61.5999999999963","31.1846666666675","46.1223333333337","6.06","1.39699999999996","42.97","0.52","boin12"
"8","2","1","40.4800000000005","51.5499999999983","22.7300000000006","30.5000000000007","1.06","2.81750000000003","45.7399999999995","1.61","boin12"
"10","2","1","41.8200000000002","53.9799999999978","25.1720000000006","33.9710000000008","1.22","2.88899999999987","33.8300000000018","1.54","boin12"
"12","2","1","43.2","56.4299999999973","26.9333333333319","36.3933333333319","1.34","2.88083333333333","46.3799999999993","1.4","boin12"
"14","2","1","45.0099999999996","57.969999999997","28.2335714285723","37.9785714285725","1.93","2.79928571428573","40.4100000000005","1.4","boin12"
"16","2","1","45.8399999999994","58.9599999999968","28.9324999999988","38.9968749999987","2.18","2.69500000000002","48.5399999999989","1.43","boin12"
"18","2","1","46.7899999999993","59.2699999999968","30.2888888888875","39.7533333333322","2.55","2.57111111111118","42.4200000000001","1.19","boin12"
"20","2","1","48.4799999999989","61.8199999999963","31.4090000000007","41.4555000000013","3.04","2.41199999999996","38.6200000000009","1.08","boin12"
"22","2","1","48.5299999999989","61.4199999999963","31.5768181818173","41.7749999999989","3.37","2.39181818181824","43.5999999999999","1.07","boin12"
"24","2","1","50.3099999999986","63.009999999996","32.7762499999992","42.4145833333322","3.25","2.22958333333336","38.8300000000008","0.920000000000001","boin12"
"26","2","1","50.0399999999986","63.049999999996","33.3369230769233","43.2338461538471","3.6","2.17653846153849","42.0600000000002","1.26","boin12"
"28","2","1","50.5299999999985","63.4799999999959","33.739642857144","43.8671428571439","4.13","2.04428571428575","39.9900000000006","0.900000000000001","boin12"
"30","2","1","50.3899999999985","64.279999999996","34.2320000000006","44.7436666666671","3.91","1.99266666666661","38.070000000001","0.890000000000001","boin12"
