ncohort,utype,rtype,bd.sel,od.sel,bd.pts,od.pts,earlystop,overdose,poorall,ov.sel,V2
12,1,1,42.9819999999993,58.288,34.3064999999983,49.638833333332,1.98,3.20716666666671,46.551999999999,0.716,utpi
18,1,1,45.8699999999992,61.4759999999998,37.8007777777773,53.2219999999999,2.662,2.7935555555556,45.9059999999992,0.536,utpi
12,2,1,40.9599999999998,55.8780000000012,32.9291666666648,47.8655,1.788,3.3841666666667,52.8259999999989,1.402,utpi
18,2,1,43.0939999999995,58.5740000000013,36.059444444444,51.2874444444453,2.454,2.76788888888893,51.0619999999989,0.976,utpi
12,1,1,40.4420000000002,56.8019999999992,35.6406666666649,53.9683333333311,1.778,4.93899999999999,50.7819999999995,0.596,boinet
18,1,1,42.1440000000004,58.9579999999991,37.8869999999997,55.6932222222226,2.704,3.94833333333343,49.8099999999994,0.346,boinet
12,2,1,39.9340000000001,57.8079999999999,34.297666666665,54.8993333333323,1.778,5.20566666666668,52.0799999999991,1.59599999999999,boinet
18,2,1,41.8719999999999,60.3599999999996,36.8338888888884,57.2554444444453,2.73,4.12222222222233,50.4659999999991,1.232,boinet
12,1,1,36.5600000000001,49.6800000000002,31.2,45.5633333333333,5.28,2.68333333333333,56.6800000000003,1.36,efftox
18,1,1,37.9600000000001,51.5200000000002,32.6933333333335,47.6844444444447,7.48,1.97555555555555,57.1600000000003,0.64,efftox
12,2,1,40.5600000000001,62.2000000000003,31.8933333333333,56.9066666666666,6.44,11.5933333333333,54.1200000000003,6.04,efftox
18,2,1,44.3200000000001,66.2800000000004,36.6422222222223,60.8644444444447,7.2,9.77555555555554,49.2800000000003,3.72,efftox
12,1,1,40.8859999999998,58.0879999999988,28.9594999999985,46.366499999998,1.632,8.37883333333331,55.0959999999997,0.832,tepi
18,1,1,42.7319999999997,60.3599999999987,31.7975555555539,48.7806666666661,2.4,7.51222222222245,55.5059999999995,0.49,tepi
12,2,1,41.4660000000001,61.5399999999988,30.1776666666652,55.0869999999979,1.678,8.41566666666662,53.01,1.91599999999999,tepi
18,2,1,43.6079999999998,63.849999999999,33.1413333333318,58.5506666666664,2.184,7.59377777777803,53.1639999999998,1.264,tepi
12,1,1,44.2539999999992,60.3279999999991,33.8466666666648,49.9451666666649,2.276,3.77250000000009,43.5639999999995,0.916,boin12
18,1,1,48.1559999999987,64.5599999999999,37.1379999999999,53.2165555555557,3.538,3.06888888888899,39.6939999999997,0.628,boin12
12,2,1,44.7059999999997,63.96,33.5133333333315,51.7551666666661,2.006,5.07566666666676,41.0399999999996,2.22399999999999,boin12
18,2,1,47.3859999999992,66.5800000000004,36.5574444444436,54.3290000000004,3.066,4.18500000000016,38.1980000000004,1.77999999999999,boin12
12,1,1,41.1160000000006,57.3479999999993,35.3698333333316,53.6489999999979,1.148,6.01550000000001,50.5619999999999,0.618,ji3
18,1,1,42.8240000000005,59.481999999999,37.7897777777774,55.6618888888889,1.8,5.02388888888903,49.3039999999999,0.442,ji3
12,2,1,40.3240000000002,58.5659999999995,34.2918333333317,55.6399999999989,1.13,6.40933333333334,51.4119999999997,1.72799999999999,ji3
18,2,1,42.6179999999999,61.4599999999995,36.7879999999995,58.2005555555563,1.67,5.28600000000015,49.8799999999998,1.114,ji3
12,1,1,40.1940000000008,56.3739999999998,33.8656666666651,50.8729999999983,1.56,3.68983333333336,52.5279999999991,0.546,printe
18,1,1,41.7120000000007,58.5579999999995,36.1323333333328,53.1577777777777,2.328,3.16911111111116,51.281999999999,0.364,printe
12,2,1,39.6380000000002,57.1260000000001,33.0341666666652,52.2009999999993,1.55,3.80816666666669,53.3379999999989,1.49999999999999,printe
18,2,1,41.8620000000004,60.0560000000001,35.4077777777772,54.9898888888896,2.148,3.23055555555561,51.7059999999989,1.054,printe
12,1,1,41.1819999999996,56.5759999999997,34.3763333333316,50.3453333333315,2.91,2.47983333333336,51.1039999999996,0.494,stein
18,1,1,43.3959999999994,59.5359999999998,37.2304444444441,53.429888888889,4.37,2.03900000000003,48.3839999999996,0.372,stein
12,2,1,40.8359999999996,56.7380000000008,33.489666666665,49.7239999999996,2.7,2.56433333333336,51.9419999999996,1.324,stein
18,2,1,42.9739999999995,59.5260000000011,35.9631111111108,52.0558888888901,3.914,2.04733333333336,49.6079999999995,0.948,stein
