Sample Size,Design,OBD Sel%,FD Sel%,OBD Pts%,Poor Pts%,OV Pts%,OV Sel%,CompRank
18,uTPI,57.17,67.70,48.40,30.44,4.54,2.10,1(2.50)
18,BOIN-ET,56.97,67.73,48.39,32.17,4.76,2.03,2(3.00)
18,Joint3+3,57.04,68.26,47.83,33.48,5.45,2.22,4(4.00)
18,STEIN,56.05,66.04,47.15,32.86,3.04,2.10,5(4.17)
18,PRINTE,55.85,66.42,46.84,34.62,3.52,2.13,6(5.17)
18,TEPI,56.22,68.60,40.99,34.02,7.44,2.84,7(5.67)
18,BOIN12,57.40,70.56,45.08,23.40,6.26,2.82,3(3.50)
36,uTPI,60.14,70.69,53.17,34.52,3.35,1.15,1(2.83)
36,BOIN-ET,59.65,70.67,53.00,34.60,3.63,1.42,6(4.67)
36,Joint3+3,60.30,72.14,52.31,34.80,4.59,1.38,4(3.83)
36,STEIN,59.80,70.32,52.09,34.49,2.41,1.25,3(3.67)
36,PRINTE,59.94,71.45,51.39,36.25,3.13,1.36,5(4.17)
36,TEPI,60.29,72.95,45.59,41.94,7.01,1.52,7(5.33)
36,BOIN12,61.73,74.85,50.94,26.96,4.59,1.93,2(3.50)
18,uTPI,57.85,67.18,49.08,28.58,4.75,1.01,2(2.67)
18,BOIN-ET,57.64,66.85,49.75,30.54,4.54,0.90,1(2.50)
18,Joint3+3,57.30,66.76,48.85,32.17,5.40,0.99,5(4.17)
18,STEIN,56.40,65.54,48.00,31.34,3.01,0.89,3(3.67)
18,PRINTE,56.04,65.30,47.39,33.63,3.51,0.82,6(4.50)
18,TEPI,55.89,65.89,40.08,35.68,7.50,1.14,7(6.50)
18,BOIN12,57.20,67.20,46.39,25.36,5.27,1.27,4(4.00)
36,uTPI,62.16,71.88,54.61,30.39,3.33,0.56,1(2.83)
36,BOIN-ET,60.54,70.13,54.68,32.66,3.59,0.46,4(3.83)
36,Joint3+3,61.14,70.47,53.75,33.27,4.52,0.48,5(4.17)
36,STEIN,61.11,70.17,53.80,32.32,2.40,0.45,1(2.83)
36,PRINTE,60.59,69.76,52.48,35.07,3.13,0.44,6(4.33)
36,TEPI,59.88,69.86,44.90,43.06,7.09,0.51,7(6.50)
36,BOIN12,62.46,72.55,52.26,27.24,3.68,0.73,3(3.50)
