phi_T,zeta_E,Design,OBD Sel%,FD Sel%,OBD Pts%,Poor Pts%,OV Pts%,OV Sel%,CompRank
0.3,0.1,uTPI,46.47,62.87,38.55,43.74,3.52,0.56,1(2.83)
0.3,0.1,BOIN-ET,45.72,61.28,38.45,47.03,4.20,0.43,3(3.50)
0.3,0.1,Joint3+3,45.36,61.68,37.49,48.33,5.52,0.49,5(4.33)
0.3,0.1,STEIN,45.27,61.01,37.15,44.93,2.26,0.43,4(3.83)
0.3,0.1,PRINTE,44.48,60.49,36.03,49.91,3.24,0.40,6(4.83)
0.3,0.1,TEPI,44.81,62.25,30.64,56.53,6.85,0.56,7(5.83)
0.3,0.1,BOIN12,47.24,64.08,37.16,39.31,3.31,0.74,1(2.83)
0.3,0.2,uTPI,48.14,63.40,40.50,43.11,2.99,0.41,1(2.50)
0.3,0.2,BOIN-ET,46.51,61.29,40.57,45.90,3.41,0.36,3(3.17)
0.3,0.2,Joint3+3,46.46,61.80,39.73,45.82,4.37,0.45,4(4.17)
0.3,0.2,STEIN,45.62,60.24,38.63,46.36,1.76,0.38,4(4.17)
0.3,0.2,PRINTE,45.13,59.99,37.94,48.33,2.53,0.41,6(5.17)
0.3,0.2,TEPI,45.64,62.08,30.52,55.85,6.90,0.54,7(5.83)
0.3,0.2,BOIN12,48.85,64.83,38.73,37.48,3.12,0.66,2(3.00)
0.3,0.3,uTPI,49.88,64.15,42.95,42.55,2.35,0.38,1(2.67)
0.3,0.3,BOIN-ET,47.26,61.53,42.49,45.88,2.26,0.28,4(3.50)
0.3,0.3,Joint3+3,48.58,62.82,42.83,43.95,2.75,0.31,2(3.33)
0.3,0.3,STEIN,43.83,56.88,38.81,50.47,1.02,0.20,6(4.67)
0.3,0.3,PRINTE,46.20,59.97,40.06,47.89,1.54,0.26,5(4.17)
0.3,0.3,TEPI,45.58,61.45,30.71,55.49,6.62,0.48,7(6.33)
0.3,0.3,BOIN12,50.12,65.80,40.63,36.14,2.84,0.65,2(3.33)
0.3,0.4,uTPI,51.20,64.52,44.92,42.61,1.56,0.27,2(3.00)
0.3,0.4,BOIN-ET,48.94,62.33,44.28,45.95,1.27,0.19,4(3.67)
0.3,0.4,Joint3+3,50.02,63.55,44.94,43.71,1.55,0.18,1(2.83)
0.3,0.4,STEIN,44.76,56.84,40.16,51.12,0.58,0.12,6(4.67)
0.3,0.4,PRINTE,47.85,60.68,42.01,47.86,0.79,0.18,5(4.17)
0.3,0.4,TEPI,46.60,62.16,30.91,54.78,6.54,0.34,7(6.33)
0.3,0.4,BOIN12,51.79,67.23,42.28,34.76,2.55,0.56,3(3.33)
0.2,0.2,uTPI,44.91,61.02,37.83,48.46,1.74,0.36,1(3.17)
0.2,0.2,BOIN-ET,44.77,60.93,38.07,46.97,2.13,0.35,2(3.33)
0.2,0.2,Joint3+3,44.11,61.17,37.99,48.48,2.93,0.32,4(3.83)
0.2,0.2,STEIN,44.06,60.21,37.44,46.50,1.75,0.36,5(4.33)
0.2,0.2,PRINTE,42.52,58.13,35.82,51.06,1.64,0.27,6(4.50)
0.2,0.2,TEPI,44.78,64.39,31.08,55.25,7.51,0.48,7(5.17)
0.2,0.2,BOIN12,45.45,63.26,35.62,41.88,2.15,0.60,3(3.67)
0.4,0.2,uTPI,49.16,62.96,40.13,41.89,2.62,0.57,2(2.83)
0.4,0.2,BOIN-ET,47.02,60.55,40.34,45.76,2.82,0.44,5(4.33)
0.4,0.2,Joint3+3,47.81,61.61,40.04,44.56,4.37,0.49,4(4.17)
0.4,0.2,STEIN,47.18,60.71,40.20,43.83,2.23,0.37,1(2.67)
0.4,0.2,PRINTE,47.04,60.83,39.38,46.06,3.15,0.37,6(4.50)
0.4,0.2,TEPI,45.65,60.20,29.43,53.74,5.20,0.43,7(6.33)
0.4,0.2,BOIN12,48.82,63.26,38.01,39.18,2.47,0.75,3(3.17)
