ncohort,utype,rtype,bd.sel,od.sel,bd.pts,od.pts,earlystop,overdose,poorall,ov.sel,V2
12,1,1,44.6319999999993,58.9839999999993,35.1329999999985,49.5226666666655,1.278,3.57566666666673,41.228,0.856,utpi
18,1,1,47.9139999999994,62.4279999999996,38.3632222222217,52.8160000000002,1.6,2.91233333333339,42.5579999999998,0.576,utpi
12,2,1,43.0419999999995,58.6120000000006,34.6498333333313,49.3665,1.234,3.63783333333339,50.1599999999998,2.02399999999999,utpi
18,2,1,44.8599999999993,61.0520000000004,37.2129999999996,52.7728888888908,1.524,3.23066666666674,48.1439999999996,1.51599999999999,utpi
12,1,1,43.5579999999994,57.7039999999992,35.145499999998,49.0961666666647,1.278,3.95866666666672,49.057999999999,0.708,boinet
18,1,1,45.8699999999992,60.287999999999,37.9918888888887,51.9144444444444,1.632,3.73755555555564,47.4899999999991,0.478,boinet
12,2,1,42.8099999999998,58.858,34.5756666666646,50.3116666666667,1.348,4.34850000000006,49.0319999999988,2.32799999999998,boinet
18,2,1,44.9559999999996,61.7259999999998,37.2831111111107,53.9536666666686,1.714,3.90611111111119,47.4599999999991,1.65799999999999,boinet
12,1,1,41.8939999999991,56.7179999999991,27.2173333333315,40.6374999999981,1.448,4.81550000000002,55.7619999999975,0.658,tepi
18,1,1,45.5359999999989,60.5199999999984,30.0072222222202,43.315888888888,1.752,5.14144444444455,53.771999999998,0.414,tepi
12,2,1,41.7299999999998,59.3000000000001,28.8781666666648,48.2041666666654,1.448,4.73316666666669,52.9879999999981,2.13599999999999,tepi
18,2,1,45.2939999999996,63.4739999999997,31.8659999999982,53.2553333333337,1.834,5.290888888889,50.3539999999986,1.584,tepi
12,1,1,43.3719999999993,58.0479999999996,33.2136666666651,47.1544999999988,1.334,3.01616666666672,44.102,1.062,boin12
18,1,1,47.1739999999993,62.1339999999999,36.2820000000003,50.3886666666666,1.88,2.49977777777785,40.9219999999999,0.766,boin12
12,2,1,43.8159999999997,62.018,32.990666666665,48.8256666666667,1.432,4.19900000000011,43.6140000000001,2.78799999999997,boin12
18,2,1,46.6979999999993,65.6040000000003,35.8585555555553,51.8170000000009,1.742,3.60277777777791,38.5499999999999,2.20399999999999,boin12
12,1,1,44.6159999999992,58.7299999999986,34.8371666666646,49.5238333333315,1.078,5.90666666666669,48.8279999999989,0.772,ji3
18,1,1,46.627999999999,61.1259999999984,37.433555555555,52.0102222222221,1.322,5.51144444444457,47.1679999999992,0.48,ji3
12,2,1,43.8719999999999,60.8899999999991,34.5526666666646,52.2655,1.16,6.64083333333334,48.077999999999,2.69599999999997,ji3
18,2,1,45.7179999999995,62.8739999999994,36.9933333333327,55.5524444444464,1.404,6.09555555555569,46.3059999999994,1.79399999999999,ji3
12,1,1,43.7639999999993,57.817999999999,34.521999999998,48.3161666666647,1.206,4.3251666666667,49.9319999999986,0.688,printe
18,1,1,46.3279999999991,60.6379999999989,37.2899999999996,50.9387777777776,1.424,4.07311111111118,47.845999999999,0.444,printe
12,2,1,42.9219999999999,59.4179999999997,34.154999999998,50.3351666666666,1.268,4.90500000000004,49.5219999999987,2.41199999999998,printe
18,2,1,45.0159999999996,61.8199999999996,36.6746666666662,53.7630000000018,1.566,4.42766666666675,47.4399999999991,1.71799999999999,printe
12,1,1,44.1739999999994,58.1639999999995,35.4254999999981,49.2269999999984,1.27,3.29216666666671,47.1520000000001,0.68,stein
18,1,1,46.8999999999993,61.2579999999996,38.7619999999998,52.6044444444449,1.818,2.84011111111116,42.862,0.468,stein
12,2,1,43.1159999999995,58.7640000000005,34.3371666666649,48.8775000000002,1.32,3.64866666666671,47.978,2.23399999999998,stein
18,2,1,45.4699999999993,61.3400000000003,36.8126666666664,51.3993333333352,1.922,2.99933333333339,44.2619999999999,1.70999999999999,stein
